"","PlotNumber","CRUST","FORB","GRASS","LICHEN","LIVERWO","MOSS","POA_ABB","POA_ALP","POA_ARC","POA_CUS","POA_FEN","POA_GLA","POA_INF","POA_LAX","POA_PRA","POA_SEC","POA_STE","POA_WHE"
"1","08-0186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2","08-0187",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"3","08-9247",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4","290571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5","290572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6","770030",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"7","770057",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","770219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9","770231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10","77DP022",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11","77DP026",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"12","9004E03",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","9005E01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14","9005E02",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","9006E03",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","90RC010",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17","9650039",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18","98-066",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"19","98-228",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20","98-280",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21","98-339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22","98-857",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23","98NB002",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"24","BB1033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25","BR54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"26","BR55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27","CG179",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"28","EAGLE06",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
