SiteSeries,Class,.pred_class,compare
$At-Calarub,CLASS_Populus-Betula,CLASS_Abielas,Diff
Aspen,CLASS_Populus-Betula,CLASS_Abielas,Diff
At_forest,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 1 /102,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 1 /110,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 1 /Ff01,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 1 /Fm06,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 2 /102,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 2 /110,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 2 /Fm01,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 2 /Fm06,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 3 /110,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 3 /111,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xh 3 /Ff01,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xh 3 /Fm05,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xw 1 /102,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xw 1 /110,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xw 1 /111,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xw 1 /Ff02,unplaced,CLASS_Abielas,Diff
BG  xw 1 /Ff04,unplaced,CLASS_Abielas,Diff
BG  xw 1 /Fm01,CLASS_Populus-Betula,CLASS_Abielas,Diff
BG  xw 2 /110,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xw 2 /111,CLASS_Pseumen1,CLASS_Abielas,Diff
BG  xw 2 /113,CLASS_Pseumen1,CLASS_Abielas,Diff
BWBSdk   /101$6B.1,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSdk   /103$6B.1,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSdk   /110$6B.1,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSdk   /Fm20,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSdk   /Wb09,CLASS_Oxycocc-Sphagnu,CLASS_Picea ,Diff
BWBSdk 1 /Fl03,CLASS_Salix,CLASS_Abielas,Diff
BWBSmk   /101,CLASS_Picea ,CLASS_Abielas,Diff
BWBSmk   /101$6B.1,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSmk   /101$6B.2,CLASS_Populus-Betula,CLASS_Abielas,Diff
BWBSmk   /102,CLASS_Picea ,CLASS_Abielas,Diff
BWBSmk   /103,CLASS_Picea ,CLASS_Abielas,Diff
