"LumpCode","SppCode","Use"
"antenna","ANTEMIC",1
"antenna","ANTEPAR",1
"antenna","ANTERAC",1
"antenna","ANTEUMB",1
"Arnica","ARNIANG",1
"Arnica","ARNIANG1",1
"Arnica","ARNIANG4",1
"Arnica","ARNICA",1
"Arnica","ARNICHA",1
"Arnica","ARNICOR",1
"Arnica","ARNIFUL",1
"Arnica","ARNIGRA",1
"Arnica","ARNIGRI",1
"Arnica","ARNIGRI1",1
"Arnica","ARNILAN",1
"Arnica","ARNILAN1",1
"Arnica","ARNILAT",1
"Arnica","ARNILES",1
"Arnica","ARNILOG",1
"Arnica","ARNILON",1
"Arnica","ARNILOU",1
"Arnica","ARNIMOL",1
"Arnica","ARNINEV",1
"Arnica","ARNIOVA",1
"Arnica","ARNIPAR",1
"Arnica","ARNIRYD",1
"Arnica","ARNISOR",1
"Artenor","ARTENOR1",1
"Barbilo","BARBATL",1
"Barbilo","BARBATT",1
"Barbilo","BARBBAR",1
"Barbilo","BARBBIN",1
"Barbilo","BARBCAV",1
"Barbilo","BARBFLO",1
"Barbilo","BARBFLO1",1
"Barbilo","BARBHAT",1
"Barbilo","BARBHYP",1
"Barbilo","BARBILO",1
"Barbilo","BARBKUN",1
"Barbilo","BARBLYC",1
"Barbilo","BARBQUA",1
"Barbilo","BARBQUA1",1
"Barbilo","BARBQUA2",1
"Barbilo","BARBQUA3",1
"Betunan","BETUNAN",1
"Betunan","BETUPUM",1
"Betunan","BETUPUM1",1
"Brachyt","BRACACT",1
"Brachyt","BRACALB",1
"Brachyt","BRACASP",1
"Brachyt","BRACCAL",1
"Brachyt","BRACCAM",1
"Brachyt","BRACCOL",1
"Brachyt","BRACERY",1
"Brachyt","BRACFEN",1
"Brachyt","BRACFRI",1
"Brachyt","BRACGRO",1
"Brachyt","BRACHOL",1
"Brachyt","BRACHYH",1
"Brachyt","BRACHYL",1
"Brachyt","BRACLAT",1
"Brachyt","BRACLEI",1
"Brachyt","BRACOED",1
"Brachyt","BRACOXY",1
"Brachyt","BRACPLU",1
"Brachyt","BRACPOP",1
"Brachyt","BRACREF1",1
"Brachyt","BRACRIV",1
"Brachyt","BRACRUT",1
"Brachyt","BRACSAL",1
"Brachyt","BRACSAL2",1
"Brachyt","BRACSTA",1
"Brachyt","BRACTRA",1
"Brachyt","BRACTUR",1
"Brachyt","BRACVEL",1
"Brachyt","BRACVEL1",1
"Brachyt","BRACVEL2",1
"Calamag","CALACAN",1
"Calamag","CALACAN1",1
"Calamag","CALACAN4",1
"Calamag","CALALAP",1
"Calamag","CALASES",1
"CARELIMO","CARELIM",1
"CARELIMO","CAREMAG",1
"CARELIMO","CAREMAG1",1
"Carexbig","CARESIT",1
"Carexbig","CAREUTR",1
"mtnheath","CASSLYC",1
"mtnheath","CASSLYC1",1
"mtnheath","CASSLYC2",1
"mtnheath","CASSMER",1
"mtnheath","CASSMER1",1
"CHENOPO","CHENALB",1
"CHENOPO","CHENLEP",1
"CLADONI","CLADACU",1
"CLADONI","CLADALA",1
"CLADONI","CLADALB",1
"CLADINA","CLADALP",1
"CLADONI","CLADAMA",1
"CLADINA","CLADARB",1
"CLADINA","CLADARB1",1
"CLADINA","CLADARB2",1
"CLADONI","CLADASA",1
"CLADONI","CLADBAC",1
"CLADONI","CLADBAI",1
"CLADONI","CLADBEL",1
"CLADONI","CLADBOE",1
"CLADONI","CLADBOR",1
"CLADONI","CLADBOY",1
"CLADONI","CLADCAA",1
"CLADONI","CLADCAI",1
"CLADONI","CLADCAL",1
"CLADONI","CLADCAN",1
"CLADONI","CLADCAR",1
"CLADONI","CLADCEN",1
"CLADONI","CLADCER",1
"CLADONI","CLADCHL",1
"CLADINA","CLADCIL",1
"CLADONI","CLADCOC",1
"CLADONI","CLADCON",1
"CLADONI","CLADCOR",1
"CLADONI","CLADCOR1",1
"CLADONI","CLADCOR2",1
"CLADONI","CLADCOS",1
"CLADONI","CLADCRI",1
"CLADONI","CLADCRI1",1
"CLADONI","CLADCRI2",1
"CLADONI","CLADCYA",1
"CLADONI","CLADDEC",1
"CLADONI","CLADDEF",1
"CLADONI","CLADDIG",1
"CLADONI","CLADDIM",1
"CLADONI","CLADECM",1
"CLADONI","CLADECM2",1
"CLADONI","CLADECM3",1
"CLADONI","CLADELO",1
"CLADONI","CLADFIM",1
"CLADONI","CLADFUR",1
"CLADONI","CLADGON",1
"CLADONI","CLADGRA",1
"CLADONI","CLADGRA1",1
"CLADONI","CLADGRA2",1
"CLADONI","CLADGRA3",1
"CLADONI","CLADGRY",1
"CLADONI","CLADHOM",1
"CLADONI","CLADHOO",1
"CLADONI","CLADHUM",1
"CLADONI","CLADIMB",1
"CLADINA","CLADIMP",1
"CLADONI","CLADJAP",1
"CLADONI","CLADKAN",1
"CLADONI","CLADLEP",1
"CLADINA","CLADLEU",1
"CLADONI","CLADLUT",1
"CLADONI","CLADMAC",1
"CLADONI","CLADMAE",1
"CLADONI","CLADMAJ",1
"CLADONI","CLADMAO",1
"CLADONI","CLADMAR",1
"CLADONI","CLADMER",1
"CLADONI","CLADMET",1
"CLADINA","CLADMIT",1
"CLADONI","CLADMUL",1
"CLADONI","CLADNEM",1
"CLADONI","CLADNIP",1
"CLADONI","CLADNOR",1
