SiteUnit,Species,MeanCov,Constancy,nPlots
IDF xh 1 /111.2,RUBUPAR,3.23,70,10
PP  xh 1 /101,HIERSCO,0.1,27.2727272727273,33
IDF xh 1 /101,TARAOFF,0.13625,26.25,80
IDF xh 1 /105,POA_PRA,0.119047619047619,19.0476190476191,21
IDF xh 1 /104,BROMJAP,0.453333333333333,6.66666666666667,45
PP  xh 1 /104,KOELMAC,0.37,45,20
IDF xh 1 /104,PSEUSPI,16.5088888888889,100,45
IDF xh 1 /102,AMELALN,2.48125,68.75,16
IDF xh 1 /102,CREPATR,0.08125,18.75,16
IDF xh 1 /104,CARECOC,0.0511111111111111,11.1111111111111,45
IDF xh 1 /111.2,PAXIMYR,1.75,50,10
IDF xh 1 /104,PSEUMEN,12.2288888888889,86.6666666666667,45
IDF xh 1 /102,COMAUMB,0.2875,31.25,16
IDF xh 1 /104,ARTECAM,0.02,6.66666666666667,45
IDF xh 1 /102,PINUPON,8.85625,75,16
IDF xh 1 /104,PINUPON,9.70444444444444,82.2222222222222,45
IDF xh 1 /102,CLADONI,1.46875,25,16
IDF xh 1 /102,CLADFIM,0.1375,18.75,16
IDF xh 1 /104,HIERSCO,0.0622222222222222,24.4444444444444,45
IDF xh 1 /102,BALSSAG,1.8625,62.5,16
IDF xh 1 /102,PSEUMEN,7.475,68.75,16
PP  xh 1 /101,BALSSAG,8.20915151515152,87.8787878787879,33
IDF xh 1 /101,AMELALN,1.0925,56.25,80
PP  xh 1 /101,PINUPON,27.7363636363636,100,33
IDF xh 1 /101,PELTCAN,0.4725,36.25,80
IDF xh 1 /104,APOCAND,0.575555555555556,44.4444444444444,45
IDF xh 1 /104,LUPISER,0.320444444444444,26.6666666666667,45
IDF xh 1 /104,ERIGSPE,0.0622222222222222,8.88888888888889,45
IDF xh 1 /102,JUNICOM,0.1875,18.75,16
ESSFwk 1 /02,PELTMAL,0.133333333333333,42.8571428571429,21
MS  xk 1 /105,PINUCON,8.4375,31.25,16
MS  xk 2 /101,VACCMEM,1.83333333333333,48.1481481481482,27
ESSFwm 4 /101,ARNICOR,2.58333333333333,44.4444444444444,18
ICH wk 1 /101,VACCOVL,1.97611940298507,74.6268656716418,67
ESSFwh 2 /101,GALITRF,0.065,15,20
IDF dk 1 /104,BRYORIA,0.5,20.8333333333333,24
PP  xh 2 /101,CERAPUR,0.169230769230769,15.3846153846154,13
ICH mc 2 /01,OPLOHOR,0.392941176470588,20.9150326797386,153
ICH wk 1 /104,PAXIMYR,6.46444444444444,73.3333333333333,45
ICH mc 2 /01,PTILCRI,17.718954248366,94.1176470588235,153
IDF dm 1 /110,FRAGVIR,0.37,60,5
SBS dw 1 /08,EQUIPRA,10.02,40,5
SBS vk   /02,VIOLORB,0.5,50,6
BWBSwk 2 /103,ACONDEL,0.0181818181818182,18.1818181818182,11
BWBSdk   /103,CLADECM,0.333333333333333,13.8888888888889,36
ESSFwc 4 /110,THALOCC,1.47368421052632,47.3684210526316,19
IDF dk 2 /104,CALARUB,32.2439024390244,100,41
SBS mc 2 /01,PICEENE,12.7665663716814,85.8407079646018,113
ESSFwm 1 /111,CLINUNI,0.8,20,10
ESSFmv 2 /01,BARBLYC,1.375,44,50
ICH wk 1 /101,STRELAN,2.75522388059702,76.1194029850746,67
ESSFdc 1 /110,PECTBRE,3.48333333333333,83.3333333333333,12
ICH wk 1 /110,PLEUSCH,2.30677966101695,47.4576271186441,59
ICH mw 5 /111,CLINUNI,3.24444444444444,100,9
ESSFwh 3 /103,PAXIMYR,4.89,100,9
SBS wk 1 /11,LONIINV,1.1,75,16
ICH wk 1 /110,TIARTRI2,9.78813559322034,98.3050847457627,59
BWBSmw   /111,PETAFRI3,1.12972972972973,59.4594594594595,37
IDF dm 2 /101,EURYCON,2.45531914893617,80.8510638297872,47
IDF xh 1 /110,BERBAQU,4.78571428571429,89.2857142857143,28
SBS dw 2 /01,GALITRF,0.0384871794871795,20.5128205128205,39
ESSFdh 1 /101,ABIEAMA,11.5666666666667,83.3333333333333,12
ICH mk 2 /01,RIBELAC,0.608108108108108,24.3243243243243,37
ICH mk 2 /05,MONEUNI,0.0230769230769231,7.69230769230769,26
SBS wk 3 /01,EQUIARV,0.854545454545455,63.6363636363636,11
IDF xx 2 /104,BOECHOLB,0.166666666666667,26.6666666666667,15
MS  dm 2 /101,FRAGVIR,0.146666666666667,18.6666666666667,75
ESSFwh 2 /101,CORNCAN,1.405,35,20
IDF xh 2 /110,HEUCCYL,0.0545454545454545,9.09090909090909,22
MS  dm 1 /111,LONIUTA,2.78947368421053,78.9473684210526,19
ESSFwm 4 /103.1,VACCMYT,8.1875,68.75,16
SBS dw 1 /05,VIBUEDU,0.116666666666667,50,6
ESSFwc 2 /04,RIBELAC,0.845833333333333,45.8333333333333,48
ESSFmh   /103,LONIUTA,0.48,50,10
IDF ww   /03,POLYJUN,0.788888888888889,44.4444444444444,18
ESSFmcw  /101,ARNILAT,0.0291666666666667,12.5,24
ESSFwk 1 /01,LYCOANN,1.58965517241379,75.8620689655172,29
BWBSwk 2 /111,LINNBOR,3.91818181818182,90.9090909090909,11
SBPSmk   /06,CALACAN,0.625,50,4
MS  xk 1 /101,PICEENG,0.466666666666667,13.3333333333333,30
ICH mc 1 /01,GYMNDRY,0.32972972972973,24.3243243243243,37
ESSFwc 2 /04,SORBSIT,0.168958333333333,18.75,48
ICH vc   /06,CORNCAN,3.25,75,4
SBS mm   /05,SPIRLUC,4.25,100,4
IDF dk 5 /101,ACERGLA,0.782364705882353,20,85
SBS wk 2 /06,PTILCRI,7.95,50,18
IDF dk 1 /101,BRACALB,1.05322580645161,22.5806451612903,62
SBS dw 1 /05,CHIMUMB,0.3,100,6
ESSFmm 3 /101,LYCOANN,1.65029411764706,67.6470588235294,34
BWBSmk   /101,PTILCRI,18.5434782608696,79.3478260869565,92
