PlotNumber,SiteUnit
94117,BG  xh 3 /112
94212,BG  xh 3 /112
9464,BG  xh 3 /112
9479,BG  xh 3 /112
94OS02,BG  xh 3 /112
94OS04,BG  xh 3 /112
9482,BG  xh 3 /113
94164,BG  xh 3 /113
94171,BG  xh 3 /113
94188,BG  xh 3 /113
94208,BG  xh 3 /113
9433,BG  xh 3 /113
98DM010,BG  xh 3 /113
K00-345,BG  xh 3 /113
9477,BG  xh 3 /113
9489,BG  xh 3 /113
94OS007,BG  xh 3 /113
94OS008,BG  xh 3 /113
94OS03,BG  xh 3 /113
94OS06,BG  xh 3 /113
9523017,BG  xh 3 /113
9475,BG  xw 2 /112
94106,BG  xw 2 /112
94140,BG  xw 2 /112
964196,BG  xw 2 /112
9523019,BG  xw 2 /112
9523020,BG  xw 2 /112
9523021,BG  xw 2 /112
9435,BG  xw 2 /114
9523043,BG  xw 2 /114
94122,BG  xw 2 /114
94139,BG  xw 2 /114
95RC016,BG  xw 2 /114
964124,BG  xw 2 /114
964195,BG  xw 2 /114
9460,BG  xw 2 /115
95K*063,BG  xw 2 /115
95KI029,BG  xw 2 /115
95KI045,BG  xw 2 /115
95RC012,BG  xw 2 /115
964159,BG  xw 2 /115
R105782,BG  xw 2 /115
R205782,BG  xw 2 /115
9628519,BWBSdk   /112
9628536,BWBSdk   /112
9628538,BWBSdk   /112
9628561,BWBSdk   /112
966625,BWBSdk   /112
08-3315,BWBSdk   /112
966761,BWBSdk   /112
CC009,BWBSdk   /112
CC036,BWBSdk   /112
CC078,BWBSdk   /112
CC133,BWBSdk   /112
L186,BWBSdk   /112
L216,BWBSdk   /112
O4CH120,BWBSdk   /112
08-3323,BWBSdk   /112
08-3344,BWBSdk   /112
29320,BWBSmk   /112
92MK20,BWBSmk   /112
92MK35,BWBSmk   /112
9612289,BWBSmk   /112
9621265,BWBSmk   /112
9621437,BWBSmk   /112
9623767,BWBSmk   /112
BOR39,BWBSmk   /112
NB431,BWBSmk   /112
RA74064,BWBSmk   /112
RA74065,BWBSmk   /112
RA74068,BWBSmk   /112
RA74073,BWBSmk   /112
RA74074,BWBSmk   /112
RA74083,BWBSmk   /112
RA74084,BWBSmk   /112
RA74085,BWBSmk   /112
5760226,BWBSmw   /112
5760218,BWBSmw   /112
5760616,BWBSmw   /112
8230634,BWBSmw   /112
8225782,BWBSmw   /112
8225786,BWBSmw   /112
8529403,BWBSmw   /112
8529448,BWBSmw   /112
8529450,BWBSmw   /112
8529481,BWBSmw   /112
8529638,BWBSmw   /112
8630475,BWBSmw   /112
8900321,BWBSmw   /112
8900355,BWBSmw   /112
9103018,BWBSmw   /112
,CWH ds 2 /09
,CWH ds 2 /10
,CWH ms 1 /08
,CWH ms 1 /09
114150,CWH ms 2 /08
114650,CWH ms 2 /08
113250,CWH ms 2 /09
113850,CWH ms 2 /09
114350,CWH ms 2 /09
210850,CWH ms 2 /09
113150,CWH ms 2 /09
113950,CWH ms 2 /09
114450,CWH ms 2 /09
GHT193,CWH vh 3 /113
PS9297,CWH vh 3 /113
PS9380,CWH vh 3 /113
9614261,CWH wh 1 /114
02-1049,CWH wh 1 /114
GHT309,CWH wh 1 /114
PS9360,CWH wh 1 /114
891053,CWH wm   /06
892253,CWH wm   /06
892953,CWH wm   /06
894353,CWH wm   /06
895053,CWH wm   /06
892653,CWH wm   /07
890853,CWH wm   /07
,CWH ws 1 /08
,CWH ws 1 /09
410550,CWH ws 2 /08
410650,CWH ws 2 /08
8216370,CWH ws 2 /08
8216371,CWH ws 2 /08
8216393,CWH ws 2 /08
8216394,CWH ws 2 /08
8216395,CWH ws 2 /08
8216415,CWH ws 2 /08
8216416,CWH ws 2 /08
8216417,CWH ws 2 /08
8216431,CWH ws 2 /08
8216432,CWH ws 2 /08
8216437,CWH ws 2 /08
8216440,CWH ws 2 /08
8216456,CWH ws 2 /08
8216465,CWH ws 2 /08
8216461,CWH ws 2 /08
8216474,CWH ws 2 /08
8216475,CWH ws 2 /08
8216476,CWH ws 2 /08
8216480,CWH ws 2 /08
410750,CWH ws 2 /09
8216383,CWH ws 2 /09
8216427,CWH ws 2 /09
,CWH xm 1 /09
,CWH xm 1 /10
,CWH xm 2 /09
,CWH xm 2 /10
,ICH dm   /Rt07
,ICH dm   /Rt07.1
,ICH mc 1 /05
402751,ICH mc 2 /06
160478,ICH mc 2 /06
,ICH vc   /05
,ICH wc   /06
F780570,ICH wk 1 /07
F780575,ICH wk 1 /07
REC3328,ICH wk 1 /07
,ICH wk 4 /10
2481,IDF xm   /10
9412,IDF xm   /10
94147,IDF xm   /10
94176,IDF xm   /10
94213,IDF xm   /10
95KI086,IDF xm   /10
95KI088,IDF xm   /10
96RC007,IDF xm   /10
R103782,IDF xm   /10
R304782,IDF xm   /10
116978,SBS dk   /08
117078,SBS dk   /08
117278,SBS dk   /08
116078,SBS dk   /08
117678,SBS dk   /08
121978,SBS dk   /08
412779,SBS dk   /08
413279,SBS dk   /08
414979,SBS dk   /08
428879,SBS dk   /08
106680,SBS dk   /08
100380,SBS dk   /08
100680,SBS dk   /08
122180,SBS dk   /08
,SBS dk   /50
,SBS vk   /12
,SBS wk 1 /13
917,BG  xh 1 /102
9123,BG  xh 1 /102
BRA008,BG  xh 1 /102
BRA011,BG  xh 1 /102
BRA013,BG  xh 1 /102
BRA017,BG  xh 1 /102
BRA018,BG  xh 1 /102
BRA019,BG  xh 1 /102
BRA021,BG  xh 1 /102
BRA076,BG  xh 1 /102
BRA077,BG  xh 1 /102
BRA082,BG  xh 1 /102
BRA083,BG  xh 1 /102
BRA085,BG  xh 1 /102
BRA086,BG  xh 1 /102
K08-039,BG  xh 1 /102
902,BG  xh 1 /103
K08-038,BG  xh 1 /103
BRA009,BG  xh 1 /110
BRA022,BG  xh 1 /110
BRA081,BG  xh 1 /110
790503,BG  xh 2 /102
831355,BG  xh 2 /102
98-019,BG  xh 2 /102
K99-026,BG  xh 2 /102
831337,BG  xh 2 /110
98-006,BG  xh 2 /110
K11-160,BG  xh 2 /110
K11-161,BG  xh 2 /110
K11-162,BG  xh 2 /110
94183,BG  xh 3 /110
95KI013,BG  xh 3 /110
964119,BG  xh 3 /110
95KI031,BG  xh 3 /111
96KI002,BG  xh 3 /111
96RC002,BG  xh 3 /111
96RC005,BG  xh 3 /111
780609,BG  xw 1 /102
K99-108,BG  xw 1 /102
K99-215,BG  xw 1 /102
K99-267,BG  xw 1 /102
R203781,BG  xw 1 /102
780614,BG  xw 1 /110
831383,BG  xw 1 /110
98-220,BG  xw 1 /110
K99-036,BG  xw 1 /110
K99-007,BG  xw 1 /111
K99-037,BG  xw 1 /111
K99-106,BG  xw 1 /111
K99-216,BG  xw 1 /111
K99-259,BG  xw 1 /111
94190,BG  xw 2 /110
94201,BG  xw 2 /110
9437,BG  xw 2 /110
9523037,BG  xw 2 /110
95K*071,BG  xw 2 /110
95K*081,BG  xw 2 /110
964123,BG  xw 2 /110
94191,BG  xw 2 /111
94197,BG  xw 2 /111
94202,BG  xw 2 /111
9439,BG  xw 2 /111
9441,BG  xw 2 /111
9448,BG  xw 2 /111
9452,BG  xw 2 /111
95K*074,BG  xw 2 /111
94123,BG  xw 2 /111
95RC002,BG  xw 2 /111
95RC015,BG  xw 2 /111
964152,BG  xw 2 /111
964171,BG  xw 2 /111
95K*077,BG  xw 2 /113
94126,BG  xw 2 /113
964116,BG  xw 2 /113
03IR140,BWBSdk   /101
03IR145,BWBSdk   /101
04IW019,BWBSdk   /101
04IW046,BWBSdk   /101
04IW052,BWBSdk   /101
106380,BWBSdk   /101
108980,BWBSdk   /101
398282,BWBSdk   /101
398682,BWBSdk   /101
398982,BWBSdk   /101
401382,BWBSdk   /101
406650,BWBSdk   /101
407450,BWBSdk   /101
407550,BWBSdk   /101
414182,BWBSdk   /101
604250,BWBSdk   /101
604350,BWBSdk   /101
602350,BWBSdk   /101
602550,BWBSdk   /101
8214470,BWBSdk   /101
8229701,BWBSdk   /101
8229702,BWBSdk   /101
8229703,BWBSdk   /101
8229705,BWBSdk   /101
8229707,BWBSdk   /101
8229708,BWBSdk   /101
8229724,BWBSdk   /101
8229770,BWBSdk   /101
8529777,BWBSdk   /101
8529778,BWBSdk   /101
8529779,BWBSdk   /101
8529783,BWBSdk   /101
8529744,BWBSdk   /101
8630234,BWBSdk   /101
8630279,BWBSdk   /101
8630281,BWBSdk   /101
8630286,BWBSdk   /101
8717582,BWBSdk   /101
87PC18,BWBSdk   /101
962440,BWBSdk   /101
9628511,BWBSdk   /101
9628517,BWBSdk   /101
9628525,BWBSdk   /101
9628530,BWBSdk   /101
9628542,BWBSdk   /101
9628543,BWBSdk   /101
9628544,BWBSdk   /101
9628545,BWBSdk   /101
9628546,BWBSdk   /101
9628550,BWBSdk   /101
9628562,BWBSdk   /101
9628577,BWBSdk   /101
9628580,BWBSdk   /101
9628581,BWBSdk   /101
964085,BWBSdk   /101
964098,BWBSdk   /101
966193,BWBSdk   /101
966648,BWBSdk   /101
966752,BWBSdk   /101
97--052,BWBSdk   /101
97--069,BWBSdk   /101
AT01,BWBSdk   /101
AT05,BWBSdk   /101
AT10,BWBSdk   /101
AT12,BWBSdk   /101
AT13,BWBSdk   /101
AT19,BWBSdk   /101
BOR022,BWBSdk   /101
BOR031,BWBSdk   /101
BOR043,BWBSdk   /101
BOR049,BWBSdk   /101
BOR050,BWBSdk   /101
BOR052,BWBSdk   /101
BOR059,BWBSdk   /101
BOR098,BWBSdk   /101
K8645,BWBSdk   /101
KL8488,BWBSdk   /101
O4CH080,BWBSdk   /101
O4CH119,BWBSdk   /101
O4CH123,BWBSdk   /101
R1001,BWBSdk   /101
R1003,BWBSdk   /101
R1006,BWBSdk   /101
R1007,BWBSdk   /101
R1010,BWBSdk   /101
R1014,BWBSdk   /101
R3014,BWBSdk   /101
R3016,BWBSdk   /101
R3026,BWBSdk   /101
R3035,BWBSdk   /101
R3041,BWBSdk   /101
R3044,BWBSdk   /101
R3048,BWBSdk   /101
R3049,BWBSdk   /101
R3051,BWBSdk   /101
R3053,BWBSdk   /101
R3060,BWBSdk   /101
399682,BWBSdk   /102
602750,BWBSdk   /102
8229712,BWBSdk   /102
8229725,BWBSdk   /102
8229734,BWBSdk   /102
8229784,BWBSdk   /102
8529782,BWBSdk   /102
8529784,BWBSdk   /102
8529715,BWBSdk   /102
9615448,BWBSdk   /102
9619873,BWBSdk   /102
9624472,BWBSdk   /102
9624497,BWBSdk   /102
9628533,BWBSdk   /102
9628541,BWBSdk   /102
AT02,BWBSdk   /102
AT04,BWBSdk   /102
AT16,BWBSdk   /102
AT20,BWBSdk   /102
BOR027,BWBSdk   /102
BOR055,BWBSdk   /102
BOR065,BWBSdk   /102
BOR070A,BWBSdk   /102
BOR104,BWBSdk   /102
BOR70A,BWBSdk   /102
R3012,BWBSdk   /102
T981877,BWBSdk   /102
398082,BWBSdk   /103
402582,BWBSdk   /103
414082,BWBSdk   /103
602850,BWBSdk   /103
8229768,BWBSdk   /103
8229769,BWBSdk   /103
8229771,BWBSdk   /103
8229776,BWBSdk   /103
8529785,BWBSdk   /103
8529719,BWBSdk   /103
8630231,BWBSdk   /103
86DYG02,BWBSdk   /103
9615334,BWBSdk   /103
9619870,BWBSdk   /103
9626987,BWBSdk   /103
9628518,BWBSdk   /103
9628563,BWBSdk   /103
9628564,BWBSdk   /103
964078,BWBSdk   /103
964083,BWBSdk   /103
9654097,BWBSdk   /103
966602,BWBSdk   /103
AT11,BWBSdk   /103
AT14,BWBSdk   /103
AT15,BWBSdk   /103
BOR006,BWBSdk   /103
BOR015,BWBSdk   /103
BOR019,BWBSdk   /103
BOR111,BWBSdk   /103
R3013,BWBSdk   /103
R3030,BWBSdk   /103
R3033,BWBSdk   /103
R3045,BWBSdk   /103
R3050,BWBSdk   /103
T981875,BWBSdk   /103
04IW051,BWBSdk   /104
117180,BWBSdk   /104
118480,BWBSdk   /104
398482,BWBSdk   /104
398882,BWBSdk   /104
406150,BWBSdk   /104
602950,BWBSdk   /104
603050,BWBSdk   /104
603550,BWBSdk   /104
602450,BWBSdk   /104
8229704,BWBSdk   /104
8229706,BWBSdk   /104
8229735,BWBSdk   /104
8529780,BWBSdk   /104
8529781,BWBSdk   /104
8529709,BWBSdk   /104
8529717,BWBSdk   /104
8529722,BWBSdk   /104
8630278,BWBSdk   /104
8717585,BWBSdk   /104
9615440,BWBSdk   /104
962438,BWBSdk   /104
962441,BWBSdk   /104
9624470,BWBSdk   /104
9624471,BWBSdk   /104
9624477,BWBSdk   /104
9626984,BWBSdk   /104
9626989,BWBSdk   /104
966558,BWBSdk   /104
966738,BWBSdk   /104
966755,BWBSdk   /104
966757,BWBSdk   /104
966759,BWBSdk   /104
97--043,BWBSdk   /104
97--046,BWBSdk   /104
97--062,BWBSdk   /104
97--064,BWBSdk   /104
97--065,BWBSdk   /104
97--070,BWBSdk   /104
97--075,BWBSdk   /104
97--078,BWBSdk   /104
97--079,BWBSdk   /104
97--085,BWBSdk   /104
97--087,BWBSdk   /104
98--124,BWBSdk   /104
98--125,BWBSdk   /104
98--127,BWBSdk   /104
98--128,BWBSdk   /104
98--139,BWBSdk   /104
98--140,BWBSdk   /104
98--141,BWBSdk   /104
98--142,BWBSdk   /104
AT17,BWBSdk   /104
AT18,BWBSdk   /104
BOR025,BWBSdk   /104
BOR044,BWBSdk   /104
BOR047,BWBSdk   /104
BOR064,BWBSdk   /104
BOR099,BWBSdk   /104
PSP1,BWBSdk   /104
R1005,BWBSdk   /104
R1009,BWBSdk   /104
R3025,BWBSdk   /104
R3029,BWBSdk   /104
R3032,BWBSdk   /104
R3037,BWBSdk   /104
R3038,BWBSdk   /104
R3046,BWBSdk   /104
AT105,BWBSdk   /110
03IR141,BWBSdk   /110
8229723,BWBSdk   /110
86DYG01,BWBSdk   /110
9624478,BWBSdk   /110
962457,BWBSdk   /110
964091,BWBSdk   /110
BOR005,BWBSdk   /110
BOR026,BWBSdk   /110
BOR034,BWBSdk   /110
BOR035,BWBSdk   /110
BOR042,BWBSdk   /110
K8644,BWBSdk   /110
O4CH083,BWBSdk   /110
O4CH122,BWBSdk   /110
08-3325,BWBSdk   /111
08-3378,BWBSdk   /111
9628528,BWBSdk   /111
9628532,BWBSdk   /111
966751,BWBSdk   /111
966754,BWBSdk   /111
966760,BWBSdk   /111
966766,BWBSdk   /111
96677,BWBSdk   /111
BOR053,BWBSdk   /111
BOR106,BWBSdk   /111
BOR110,BWBSdk   /111
BOR30,BWBSdk   /111
R3027,BWBSdk   /111
R3039,BWBSdk   /111
,BWBSdk   /Wb03
04IW015,BWBSdk   /Wb09
706150,BWBSdk   /Wb09
9626983,BWBSdk   /Wb09
966692,BWBSdk   /Wb09
97--039,BWBSdk   /Wb09
97--044,BWBSdk   /Wb09
97--071,BWBSdk   /Wb09
R3031,BWBSdk   /Wb09
R3052,BWBSdk   /Wb09
9628707,BWBSdk   /Wb09
962369,BWBSdk   /Wb09
962418,BWBSdk   /Wb09
8529766,BWBSdk   /Wb09
BOR048,BWBSdk   /Wb09
BOR032,BWBSdk   /Wb09
BOR046,BWBSdk   /Wb09
BOR054,BWBSdk   /Wb09
BOR041,BWBSdk   /Wb09
97--035,BWBSdk   /Wb09
966756,BWBSdk   /Wb09
BOR024,BWBSdk   /Wb09
BOR097,BWBSdk   /Wb11
AT03,BWBSdk   /Ws15
K8637,BWBSdk   /Ws15
109280,BWBSdk   /Ws15
116457,BWBSmk   /101
116462,BWBSmk   /101
116480,BWBSmk   /101
116481,BWBSmk   /101
116627,BWBSmk   /101
116639,BWBSmk   /101
116671,BWBSmk   /101
21002,BWBSmk   /101
21003,BWBSmk   /101
13212,BWBSmk   /101
1976019,BWBSmk   /101
1976033,BWBSmk   /101
1976038,BWBSmk   /101
29353,BWBSmk   /101
412550,BWBSmk   /101
412750,BWBSmk   /101
413050,BWBSmk   /101
413150,BWBSmk   /101
413450,BWBSmk   /101
413550,BWBSmk   /101
603250,BWBSmk   /101
603350,BWBSmk   /101
603450,BWBSmk   /101
603650,BWBSmk   /101
604050,BWBSmk   /101
604650,BWBSmk   /101
8630137,BWBSmk   /101
8630140,BWBSmk   /101
8630146,BWBSmk   /101
8630155,BWBSmk   /101
8630160,BWBSmk   /101
92MK11,BWBSmk   /101
92MK12,BWBSmk   /101
92MK18,BWBSmk   /101
92MK21,BWBSmk   /101
92MK26,BWBSmk   /101
92MK44,BWBSmk   /101
92MK46,BWBSmk   /101
92MK49,BWBSmk   /101
92MK70,BWBSmk   /101
92MK76,BWBSmk   /101
9620649,BWBSmk   /101
9621438,BWBSmk   /101
9621449,BWBSmk   /101
9623762,BWBSmk   /101
9628120,BWBSmk   /101
9628129,BWBSmk   /101
9628130,BWBSmk   /101
9628143,BWBSmk   /101
9628284,BWBSmk   /101
9628290,BWBSmk   /101
9628293,BWBSmk   /101
9628304,BWBSmk   /101
9628305,BWBSmk   /101
9628314,BWBSmk   /101
9628324,BWBSmk   /101
9628327,BWBSmk   /101
9628348,BWBSmk   /101
97--113,BWBSmk   /101
97--117,BWBSmk   /101
97--167,BWBSmk   /101
9800326,BWBSmk   /101
BOR071,BWBSmk   /101
BOR072,BWBSmk   /101
BOR073,BWBSmk   /101
BOR075,BWBSmk   /101
BOR082,BWBSmk   /101
BOR091,BWBSmk   /101
BOR093,BWBSmk   /101
BOR101,BWBSmk   /101
BOR36,BWBSmk   /101
L018,BWBSmk   /101
L022,BWBSmk   /101
L028,BWBSmk   /101
L034,BWBSmk   /101
L035,BWBSmk   /101
L036,BWBSmk   /101
L038,BWBSmk   /101
L039,BWBSmk   /101
L054,BWBSmk   /101
L056,BWBSmk   /101
L060,BWBSmk   /101
L068,BWBSmk   /101
L084,BWBSmk   /101
L088,BWBSmk   /101
L099,BWBSmk   /101
L100,BWBSmk   /101
L126,BWBSmk   /101
L128,BWBSmk   /101
L139,BWBSmk   /101
L140,BWBSmk   /101
L146,BWBSmk   /101
L154,BWBSmk   /101
L176,BWBSmk   /101
L197,BWBSmk   /101
L199,BWBSmk   /101
NB509,BWBSmk   /101
R0103,BWBSmk   /101
R0105,BWBSmk   /101
R3055,BWBSmk   /101
R3062,BWBSmk   /101
1976059,BWBSmk   /102
1976081,BWBSmk   /102
1976082,BWBSmk   /102
1976092,BWBSmk   /102
406950,BWBSmk   /102
412050,BWBSmk   /102
603850,BWBSmk   /102
604450,BWBSmk   /102
8630147,BWBSmk   /102
92MK59,BWBSmk   /102
BOR070B,BWBSmk   /102
L002,BWBSmk   /102
L048,BWBSmk   /102
L080,BWBSmk   /102
L102,BWBSmk   /102
L215,BWBSmk   /102
L222,BWBSmk   /102
116482,BWBSmk   /103
1976041,BWBSmk   /103
1976043,BWBSmk   /103
92MK48,BWBSmk   /103
92MK58,BWBSmk   /103
92MK69,BWBSmk   /103
9626891,BWBSmk   /103
BOR038,BWBSmk   /103
BOR077,BWBSmk   /103
BOR090,BWBSmk   /103
BOR092,BWBSmk   /103
BOR09X,BWBSmk   /103
L029,BWBSmk   /103
L046,BWBSmk   /103
L076,BWBSmk   /103
L147,BWBSmk   /103
L196,BWBSmk   /103
1976001,BWBSmk   /104
1976005,BWBSmk   /104
1976006,BWBSmk   /104
1976009,BWBSmk   /104
1976010,BWBSmk   /104
1976017,BWBSmk   /104
1976018,BWBSmk   /104
1976024,BWBSmk   /104
1976035,BWBSmk   /104
1976036,BWBSmk   /104
1976042,BWBSmk   /104
1976054,BWBSmk   /104
1976055,BWBSmk   /104
29332,BWBSmk   /104
29342,BWBSmk   /104
29358,BWBSmk   /104
29382,BWBSmk   /104
29384,BWBSmk   /104
406750,BWBSmk   /104
412950,BWBSmk   /104
413350,BWBSmk   /104
604550,BWBSmk   /104
8630141,BWBSmk   /104
8630144,BWBSmk   /104
8630145,BWBSmk   /104
8630149,BWBSmk   /104
8630151,BWBSmk   /104
8630152,BWBSmk   /104
