ID,Formation,Class,Order,Suborder,Alliance,Suball,Assoc,Subass,Facies,Working,SiteUnit
1166,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Purstri-Pseuspi (desert),ALLIANCE Pinupon-Purstri-Pseuspi (desert),ASSOC Pinupon-Purstri-Arispur,ASSOC Pinupon-Purstri-Arispur,,,BG  xh 1 /102
1153,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Pseuspi-Seladen (rock),ALLIANCE Pinupon-Pseuspi-Seladen (rock),ASSOC Py(Fd)-Pseuspi-Seladen (rocky),ASSOC Py(Fd)-Pseuspi-Seladen (rocky),,,BG  xh 1 /103
1164,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Purstri-Pseuspi (desert),ALLIANCE Pinupon-Purstri-Pseuspi (desert),?ASSOC Pinupon-Rhusgla-Phillew,?ASSOC Pinupon-Rhusgla-Phillew,,,BG  xh 1 /110
1142,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Pseuspi (typic),ALLIANCE Pinupon-Pseuspi (typic),ASSOC Py(Fd)-Pseuspi (PPxw zonal typic),SUBASS Py-Pseuspi(Ericnau),,,BG  xh 2 /102
1053,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),"ALLIANCE Pseumen-Sympalb (non Calarub, IDFxm)",SUBALL Pseumen-Sympalb-Spirbet(IDFxc and dc),ASSOC Pseumen-Sympalb-Mahoaqu,SUBASS Pseumen-Sympalb-Mahoaqu (Py),,,BG  xh 2 /110
940,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL Pseumen-Junisco-Pseuspi (cool dry),ASSOC Pseumen-Pseuspi-Hylospl (cool aspect),ASSOC Pseumen-Pseuspi-Hylospl (cool aspect),,,BG  xh 3 /110
947,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL Pseumen-Junisco-Pseuspi (cool dry),ASSOC Pseumen-Junisco-Pseuspi,SUBASS Fd-Junisco-Pseuspi(typic),,,BG  xh 3 /111
,NewUnitstoPlace,,,,,,,,,,BG  xh 3 /112
,NewUnitstoPlace,,,,,,,,,,BG  xh 3 /113
1136,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Pseuspi (typic),ALLIANCE Pinupon-Pseuspi (typic),ASSOC Py(Fd)-Pseuspi (PPxw zonal typic),SUBASS Py-Pseuspi(Ericnau),,,BG  xw 1 /102
1130,Formation ConiferForests,CLASS Pseumen1,ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ORDER Pinupon-Pseuspi (Py dominant  and Pseuspi),ALLIANCE Pinupon-Pseuspi (typic),ALLIANCE Pinupon-Pseuspi (typic),ASSOC Py(Fd)-Pseuspi-Festcam (PPxh zonals),ASSOC Py(Fd)-Pseuspi-Festcam (PPxh zonals),,,BG  xw 1 /110
954,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL Pseumen-Junisco-Pseuspi (cool dry),,,,ASSOC Pseumen-Sympalb-Hylospl,BG  xw 1 /111
946,Formation ConiferForests,CLASS Pseumen1,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen(Pinupon)-Pseuspi (PP transition),ALLIANCE Pseumen-Pseuspi (low Pinupon),SUBALL Pseumen-Junisco-Pseuspi (cool dry),ASSOC Pseumen-Junisco-Pseuspi,SUBASS Fd-Junisco-Pseuspi(typic),,,BG  xw 2 /110
