"PlotNumber","SiteUnit"
"2281","IDF xm   /Gg04"
"94162","BG  xw 2 /Ff01"
"94190","BG  xw 2 /110"
"94191","BG  xw 2 /111"
"94192","BG  xw 2 /Rt04"
"94195","BG  xw 2 /Wm09"
"94197","BG  xw 2 /111"
"94201","BG  xw 2 /110"
"94202","BG  xw 2 /111"
"94204","BG  xw 2 /101c(Gg04)"
"94218","BG  xw 2 /Ro04"
"9435","BG  xw 2 /114"
"9437","BG  xw 2 /110"
"9439","BG  xw 2 /111"
"9441","BG  xw 2 /111"
"9447","BG  xw 2 /Gg24"
"9448","BG  xw 2 /111"
"9452","BG  xw 2 /111"
"9458","BG  xw 2 /Gg22a"
"9460","BG  xw 2 /115"
"9465","BG  xw 2 /Rt04"
"9466","BG  xw 2 /Gg01"
"9467","BG  xw 2 /Rt04"
"9475","BG  xw 2 /112(Fm01)"
"9477","BG  xw 2 /101c(Gg04)"
"9479","BG  xw 2 /110"
"9482","BG  xw 2 /112(Fm01)"
"9489","BG  xw 2 /110"
"94OS007","BG  xw 2 /Gg24"
"94OS008","BG  xw 2 /Gg01"
"94OS02","BG  xw 2 /101a(Gg04)"
"94OS03","BG  xw 2 /Gg24"
"94OS04","BG  xw 2 /Gg24"
"94OS06","BG  xw 2 /101a(Gg04)"
"9523017","BG  xw 2 /101a(Gg04)"
"9523019","BG  xw 2 /101a(Gg04)"
"9523020","BG  xw 2 /Gg01"
"9523021","BG  xw 2 /110"
"9523023","BG  xw 2 /Ff01"
"9523037","BG  xw 2 /110"
"9523043","BG  xw 2 /114"
"9523048","BG  xw 2 /Gg22a"
"95K*042","BG  xw 2 /Ga03"
"95K*063","BG  xw 2 /115"
"95K*066","BG  xw 2 /Gg22b"
"95K*068","BG  xw 2 /101c(Gg04)"
"95K*070","BG  xw 2 /Gg24"
"95K*071","BG  xw 2 /110"
"95K*074","BG  xw 2 /111"
"95K*075","BG  xw 2 /Gg01"
"95K*077","BG  xw 2 /113"
"95K*078","BG  xw 2 /Gg22a"
"95K*081","BG  xw 2 /110"
"95K*092","BG  xw 2 /Gg27"
"95K*095","BG  xw 2 /101a(Gg04)"
"95K*097","BG  xw 2 /101a(Gg04)"
"95K*099","BG  xw 2 /Gg27"
"95K*101","BG  xw 2 /101a(Gg04)"
"95KI029","BG  xw 2 /115"
"95KI036","BG  xw 2 /Gg01"
"95KI037","BG  xw 2 /Gg01"
"95KI038","BG  xw 2 /Gg24"
"95KI043","BG  xw 2 /Ga03"
"95KI044","BG  xw 2 /Wm03"
"95KI045","BG  xw 2 /115"
"95KI047","BG  xw 2 /Gg22b"
"2381","IDF xm   /Gg01"
"2481","IDF xm   /10"
"3081","IDF xm   /Gg24"
"881","IDF xm   /Gg04"
"9402","IDF xm   /Gg04"
"9412","IDF xm   /10"
"9413","IDF xm   /Gg20"
"9414","IDF xm   /Gg21a"
"94147","IDF xm   /10"
"94150","IDF xm   /Gg24"
"94152","IDF xm   /Wm07"
"94176","IDF xm   /10"
"94179","IDF xm   /Wm04"
"94213","IDF xm   /10"
"9485","IDF xm   /Gg24"
"9486","IDF xm   /Wm07"
"9493","IDF xm   /Gg24"
"9523004","IDF xm   /Gg04"
"9523005","IDF xm   /Gg01"
"9523010","IDF xm   /Ga03"
"9523011","IDF xm   /Gg21a"
"9523012","IDF xm   /Gg21$2b.1"
"9523046","IDF xm   /Gg21a"
"9523055","IDF xm   /Gg24"
"9523056","IDF xm   /Gg24"
"9523060","IDF xm   /Gg01"
"9523063","IDF xm   /Ga03"
"9523065","IDF xm   /Gg24"
"9523066","IDF xm   /Gg21b"
"95CH02A","IDF xm   /Wm04"
"95CH02B","IDF xm   /Wm01"
"95CH03","IDF xm   /Ws05"
"95K*085","IDF xm   /Gg21a"
"95K*087","IDF xm   /Gg24"
"95K*108","IDF xm   /Gg24"
"95K*113","IDF xm   /Gg04"
"95K*114","IDF xm   /Gg04"
"95K*117","IDF xm   /Gg21a"
"95K*118","IDF xm   /Gg24"
"95K*119","IDF xm   /Gg21a"
"95K*121","IDF xm   /Gg24"
"95K*124","IDF xm   /Gg04"
"95K*126","IDF xm   /Gg24"
"95KI086","IDF xm   /10"
"95KI088","IDF xm   /10"
"95KI094","IDF xm   /Gg01"
"95KI105","IDF xm   /Gg21a"
"95KI111","IDF xm   /Gg24"
"95RC*20","IDF xm   /Gg21a"
"95RC*21","IDF xm   /Gg04"
"95RC*22","IDF xm   /Gg20"
"95RC*23","IDF xm   /Gg01"
"95RC*25","IDF xm   /Ro02"
"95RC*26","IDF xm   /Gg24"
"962938","IDF xm   /Wm10"
"962939","IDF xm   /Wm07"
"962940","IDF xm   /Wm06"
"962951","IDF xm   /Wm06"
"962952","IDF xm   /Ga01"
"962953","IDF xm   /Ga01"
"962954","IDF xm   /Wm04"
"962962","IDF xm   /Wm06"
"964129","IDF xm   /Ga01"
"964130","IDF xm   /Gg24"
"964131","IDF xm   /Gg21a"
"964132","IDF xm   /Gg24"
"964135","IDF xm   /Gg21a"
"964140","IDF xm   /Ws05"
"964149","IDF xm   /Gg24"
"964161","IDF xm   /Gg04"
"964162","IDF xm   /Rt04"
"96RC007","IDF xm   /10"
"96RC015","IDF xm   /Gg24"
"9801829","IDF xm   /Ff01"
"9801830","IDF xm   /Wm08"
"9801831","IDF xm   /Ga02.2"
"9801832","IDF xm   /Wm07"
"9801833","IDF xm   /Wm12"
"9801834","IDF xm   /Wm03"
"BR5","IDF xm   /Gg21$2b.1"
"BREC012","IDF xm   /Gg20"
"BREC015","IDF xm   /Gg21$2b.1"
"R003033","IDF xm   /Gg21b"
"R103782","IDF xm   /10"
"R104782","IDF xm   /Gg21a"
"R203782","IDF xm   /Gg21b"
"R204782","IDF xm   /Gg04"
"R213781","IDF xm   /Gg21a"
"R303782","IDF xm   /Gg21b"
"R304782","IDF xm   /10"
"R330981","IDF xm   /Gg04"
"2781","BG  xh 3 /101(Gs01)"
"3281","BG  xh 3 /Gs01$2b.1"
"770212","BG  xh 3 /Gg27"
"781","BG  xh 3 /Gs01$2b.1"
"831370","BG  xh 3 /101(Gs01)"
"831372","BG  xh 3 /101(Gs01)"
"9405","BG  xh 3 /Gs02a"
"9406","BG  xh 3 /Gs02a"
"94111","BG  xh 3 /Gs02a"
