"PlotNumber","SiteUnit"
"770C023","ICH wk 4 /05"
"770C024","ICH wk 4 /05"
"770C025","ICH wk 4 /05"
"770L007","ICH wk 4 /05"
"770L008","ICH wk 4 /05"
"770L012","ICH wk 4 /05"
"770L014","ICH wk 4 /05"
"770L016","ICH wk 4 /05"
"011680","ICH vk 2 /03"
"013680","ICH vk 2 /03"
"014480","ICH vk 2 /03"
"271581","ICH vk 2 /03"
"271681","ICH vk 2 /03"
"002179","ICH mm   /01"
"003779","ICH mm   /01"
"037680","ICH mm   /01"
"038180","ICH mm   /01"
"046180","ICH mm   /01"
"11-9565","ICH mm   /01"
"270081","ICH mm   /01"
"A796875","ICH mm   /01"
"VRI779","ICH mm   /01"
"08-8362","ICH wk 1 /103"
"11-4073","ICH wk 1 /103"
"790591","ICH wk 1 /103"
"800870","ICH wk 1 /103"
"9622041","ICH wk 1 /103"
"G780564","ICH wk 1 /103"
"GH-G38","ICH wk 1 /103"
"GH-G43","ICH wk 1 /103"
"HD1099","ICH wk 1 /103"
"J796861","ICH wk 1 /103"
"K01-560","ICH wk 1 /103"
"K01-716","ICH wk 1 /103"
"K01-729","ICH wk 1 /103"
"KL-157","ICH wk 1 /103"
"PA3006","ICH wk 1 /103"
"REC3321","ICH wk 1 /103"
"REV106","ICH wk 1 /103"
"SD2102","ICH wk 1 /103"
"D89BSH3","ICH mw 1 /03"
"BPK042","MH  mm 1 /02"
"BPK043","MH  mm 1 /02"
"BPK101","MH  mm 1 /02"
"BPK104","MH  mm 1 /02"
"BPK124","MH  mm 1 /02"
"EB2Y31","MH  mm 1 /02"
"EB3Y23","MH  mm 1 /02"
"GR 123","MH  mm 1 /02"
"GR 136","MH  mm 1 /02"
"INDI048","MH  mm 1 /02"
"INDI089","MH  mm 1 /02"
"STAF06","MH  mm 1 /02"
"STAF43","MH  mm 1 /02"
"TEM1B11","MH  mm 1 /02"
"TEM2Y11","MH  mm 1 /02"
"TEM3M42","MH  mm 1 /02"
