PlotNumber,SiteUnit
801752%,ESSFdk 1 /101
801756%,ESSFdk 1 /101
801775%,ESSFdk 1 /101
BR23,ESSFdk 1 /101
CR01-9,ESSFdk 1 /101
F15023,ESSFdk 1 /101
F15056,ESSFdk 1 /101
KN02479,ESSFdk 1 /101
MF8,ESSFdk 1 /101
MG14,ESSFdk 1 /101
N05-339,ESSFdk 1 /101
N05-387,ESSFdk 1 /101
N061420,ESSFdk 1 /101
N061422,ESSFdk 1 /101
N06-472,ESSFdk 1 /101
N06-921,ESSFdk 1 /101
N06-924,ESSFdk 1 /101
NCCK114,ESSFdk 1 /101
NCCK131,ESSFdk 1 /101
Teck325,ESSFdk 1 /101
Teck342,ESSFdk 1 /101
Teck345,ESSFdk 1 /101
Teck464,ESSFdk 1 /101
801768%,ESSFdk 1 /102
b523244,ESSFdk 1 /102
CM02102,ESSFdk 1 /102
CM02188,ESSFdk 1 /102
CM02200,ESSFdk 1 /102
MG70,ESSFdk 1 /102
N05-177,ESSFdk 1 /102
N05-404,ESSFdk 1 /102
300854,ESSFdk 1 /103
BR22,ESSFdk 1 /103
CM02108,ESSFdk 1 /103
CM02195,ESSFdk 1 /103
F15024,ESSFdk 1 /103
F15064,ESSFdk 1 /103
N05-176,ESSFdk 1 /103
N05-381,ESSFdk 1 /103
N05-399,ESSFdk 1 /103
N05-403,ESSFdk 1 /103
N06-468,ESSFdk 1 /103
N06-473,ESSFdk 1 /103
NCCK99,ESSFdk 1 /103
PD00408,ESSFdk 1 /103
?801831,ESSFdk 1 /104
9800809,ESSFdk 1 /104
CM02199,ESSFdk 1 /104
F15025,ESSFdk 1 /104
KN02718,ESSFdk 1 /104
N05-546,ESSFdk 1 /104
N05-547,ESSFdk 1 /104
N06-916,ESSFdk 1 /104
N06-917,ESSFdk 1 /104
N99G07,ESSFdk 1 /104
O801877,ESSFdk 1 /104
PSP9215,ESSFdk 1 /104
PSP9311,ESSFdk 1 /104
PSP9312,ESSFdk 1 /104
REC8902,ESSFdk 1 /104
Teck077,ESSFdk 1 /104
Teck326,ESSFdk 1 /104
Teck652,ESSFdk 1 /104
801760%,ESSFdk 1 /110
CR7242,ESSFdk 1 /110
F15054,ESSFdk 1 /110
KN02720,ESSFdk 1 /110
MF4,ESSFdk 1 /110
MG53,ESSFdk 1 /110
N05-541,ESSFdk 1 /110
N05-542,ESSFdk 1 /110
N061419,ESSFdk 1 /110
N061421,ESSFdk 1 /110
N06-440,ESSFdk 1 /110
N06-470,ESSFdk 1 /110
N06-923,ESSFdk 1 /110
N99G21,ESSFdk 1 /110
PSP9213,ESSFdk 1 /110
801754%,ESSFdk 1 /111a
N05-544,ESSFdk 1 /111a
N06-444,ESSFdk 1 /111a
NCCK116,ESSFdk 1 /111a
9616010,ESSFdk 2 /101
964277,ESSFdk 2 /101
964403,ESSFdk 2 /101
964406,ESSFdk 2 /101
BB1032,ESSFdk 2 /101
CFI686C,ESSFdk 2 /101
HD2041,ESSFdk 2 /101
HD2043,ESSFdk 2 /101
HD2137,ESSFdk 2 /101
N05-365,ESSFdk 2 /101
N05-490,ESSFdk 2 /101
N05-494,ESSFdk 2 /101
N06-420,ESSFdk 2 /101
N06-903,ESSFdk 2 /101
N06-905,ESSFdk 2 /101
O801865,ESSFdk 2 /101
P801815,ESSFdk 2 /101
P801847,ESSFdk 2 /101
PA2045,ESSFdk 2 /101
PD00420,ESSFdk 2 /101
RS23366,ESSFdk 2 /101
SF143,ESSFdk 2 /101
08-8307,ESSFdk 2 /102
CM02104,ESSFdk 2 /102
CM02106,ESSFdk 2 /102
HD1029,ESSFdk 2 /102
HD2045,ESSFdk 2 /102
N05-359,ESSFdk 2 /102
O801882,ESSFdk 2 /102
P801924,ESSFdk 2 /102
964343,ESSFdk 2 /103
9800788,ESSFdk 2 /103
BB1033,ESSFdk 2 /103
CFI350B,ESSFdk 2 /103
CFI350C,ESSFdk 2 /103
HD2139,ESSFdk 2 /103
IN55-1,ESSFdk 2 /103
JD1002,ESSFdk 2 /103
JD1013,ESSFdk 2 /103
JD1039,ESSFdk 2 /103
MF2041,ESSFdk 2 /103
