"PlotNumber","SiteUnit"
"9123","BG  xh 1 /102"
"917","BG  xh 1 /102"
"BRA008","BG  xh 1 /102"
"BRA011","BG  xh 1 /102"
"BRA013","BG  xh 1 /102"
"BRA017","BG  xh 1 /102"
"BRA018","BG  xh 1 /102"
"BRA019","BG  xh 1 /102"
"BRA021","BG  xh 1 /102"
"BRA076","BG  xh 1 /102"
"BRA077","BG  xh 1 /102"
"BRA082","BG  xh 1 /102"
"BRA083","BG  xh 1 /102"
"BRA085","BG  xh 1 /102"
"BRA086","BG  xh 1 /102"
"K08-039","BG  xh 1 /102"
"BRA012","BG  xh 1 /102$"
"BRA080","BG  xh 1 /102$"
"BRA084","BG  xh 1 /102$"
"902","BG  xh 1 /103"
"K08-038","BG  xh 1 /103"
"BRA009","BG  xh 1 /110"
"BRA022","BG  xh 1 /110"
"BRA081","BG  xh 1 /110"
"9012","BG  xh 1 /OMIT"
"9013","BG  xh 1 /OMIT"
"9014","BG  xh 1 /OMIT"
"9015","BG  xh 1 /OMIT"
"9029","BG  xh 1 /OMIT"
"903","BG  xh 1 /OMIT"
"9038","BG  xh 1 /OMIT"
"9041","BG  xh 1 /Omit"
"9043","BG  xh 1 /OMIT"
"9044","BG  xh 1 /OMIT"
"9060","BG  xh 1 /OMIT"
"9061","BG  xh 1 /OMIT"
"9148","BG  xh 1 /OMIT"
"9151","BG  xh 1 /OMIT"
"98OK088","BG  xh 1 /OMIT"
"BRA010","BG  xh 1 /OMIT"
"BRA078","BG  xh 1 /OMIT"
"BRA095","BG  xh 1 /OMIT"
"BRA111","BG  xh 1 /OMIT"
"BRA113","BG  xh 1 /OMIT"
"BRA115","BG  xh 1 /OMIT"
"K08-040","BG  xh 1 /OMIT"
"RC6003","BG  xh 1 /OMIT"
"RC6015","BG  xh 1 /OMIT"
"RC6016","BG  xh 1 /OMIT"
"RC6017","BG  xh 1 /OMIT"
"RC6018","BG  xh 1 /OMIT"
"RC6559","BG  xh 1 /OMIT"
"RC7002","BG  xh 1 /OMIT"
"RC7004","BG  xh 1 /OMIT"
"RC7007","BG  xh 1 /OMIT"
"RC7008","BG  xh 1 /OMIT"
"RC7014","BG  xh 1 /OMIT"
"V00022","BG  xh 1 /OMIT"
"WSO006","BG  xh 1 /OMIT"
"WSO011","BG  xh 1 /OMIT"
"WSO012","BG  xh 1 /OMIT"
"770004","BG  xh 2 /101 (Gs01)"
"790501","BG  xh 2 /101 (Gs01)"
"831313","BG  xh 2 /101 (Gs01)"
"831314","BG  xh 2 /101 (Gs01)"
"831338","BG  xh 2 /101 (Gs01)"
"831343","BG  xh 2 /101 (Gs01)"
"831360","BG  xh 2 /101 (Gs01)"
"98-001","BG  xh 2 /101 (Gs01)"
"98-030","BG  xh 2 /101 (Gs01)"
"98-115","BG  xh 2 /101 (Gs01)"
"98-213","BG  xh 2 /101 (Gs01)"
"K99-062","BG  xh 2 /101 (Gs01)"
"MCL01A","BG  xh 2 /101 (Gs01)"
"MCL01C","BG  xh 2 /101 (Gs01)"
"MCL03A","BG  xh 2 /101 (Gs01)"
"MCL04A","BG  xh 2 /101 (Gs01)"
"MCL04D","BG  xh 2 /101 (Gs01)"
"MCL05A","BG  xh 2 /101 (Gs01)"
"MCL05B","BG  xh 2 /101 (Gs01)"
"MCL06C","BG  xh 2 /101 (Gs01)"
"MCL07B","BG  xh 2 /101 (Gs01)"
"MCL07C","BG  xh 2 /101 (Gs01)"
"MCL7B","BG  xh 2 /101 (Gs01)"
"MCLR09","BG  xh 2 /101 (Gs01)"
"R119681","BG  xh 2 /101 (Gs01)"
"R217682","BG  xh 2 /101 (Gs01)"
"790503","BG  xh 2 /102"
"831355","BG  xh 2 /102"
"98-019","BG  xh 2 /102"
"K99-026","BG  xh 2 /102"
"831337","BG  xh 2 /110"
"98-006","BG  xh 2 /110"
"K11-160","BG  xh 2 /110"
"K11-161","BG  xh 2 /110"
"K11-162","BG  xh 2 /110"
"K10-006","BG  xh 2 /OMIT"
"831301","BG  xh 2 /Omit"
"831302","BG  xh 2 /Omit"
"821103","BG  xh 1 /101 (Gs01)"
"821105","BG  xh 1 /101 (Gs01)"
"9017","BG  xh 1 /101 (Gs01)"
"K07-013","BG  xh 1 /101 (Gs01)"
"K07-014","BG  xh 1 /101 (Gs01)"
"WSO004","BG  xh 1 /101 (Gs01)"
"WSO005","BG  xh 1 /101 (Gs01)"
"831316","BG  xh 2 /Omit"
"831318","BG  xh 2 /Omit"
"831319","BG  xh 2 /Omit"
"831329","BG  xh 2 /Omit"
"831332","BG  xh 2 /Omit"
"831339","BG  xh 2 /Omit"
"831352","BG  xh 2 /Omit"
"831374","BG  xh 2 /Omit"
"831375","BG  xh 2 /Omit"
"98-022","BG  xh 2 /Omit"
"98-029","BG  xh 2 /Omit"
"98-036","BG  xh 2 /Omit"
"98-219","BG  xh 2 /Omit"
"98KAM10","BG  xh 2 /Omit"
"9901893","BG  xh 2 /Omit"
"K00-927","BG  xh 2 /Omit"
"K00-928","BG  xh 2 /Omit"
"K08-064","BG  xh 2 /Omit"
"K08-118","BG  xh 2 /Omit"
"K99-023","BG  xh 2 /Omit"
"K99-032","BG  xh 2 /Omit"
"K99-069","BG  xh 2 /Omit"
"K99-235","BG  xh 2 /Omit"
"K99-237","BG  xh 2 /Omit"
"K99-247","BG  xh 2 /Omit"
"K99-275","BG  xh 2 /Omit"
"MCL01B","BG  xh 2 /Omit"
"MCLR5A","BG  xh 2 /Omit"
"R117681","BG  xh 2 /Omit"
"780460","BG  xw 1 /101 (Gg04d)"
"780613","BG  xw 1 /101 (Gg04d)"
"800642","BG  xw 1 /101 (Gg04d)"
"800678","BG  xw 1 /101 (Gg04d)"
"800681","BG  xw 1 /101 (Gg04d)"
"800682","BG  xw 1 /101 (Gg04d)"
"810683","BG  xw 1 /101 (Gg04d)"
"841502","BG  xw 1 /101 (Gg04d)"
