PlotNumber,SiteUnit
08-9247,BAFAun   /Ro08
962437,BAFAun   /Vh02.1
9022,BG  xh 1 /Ff01
9039,BG  xh 1 /Ff01
914,BG  xh 1 /Ff01
9035,BG  xh 1 /Fm01
RC7003,BG  xh 1 /Fm01
901,BG  xh 1 /Fm06
9018,BG  xh 1 /Fm06
9062,BG  xh 1 /Fm06
9110,BG  xh 1 /Fm06
9132,BG  xh 1 /Fm06
BRA114,BG  xh 1 /Fm06
K07-010,BG  xh 1 /Ga01
K07-017,BG  xh 1 /Ga05
9116,BG  xh 1 /Gb05
9048,BG  xh 1 /Gg11
9080,BG  xh 1 /Gg11
9117,BG  xh 1 /Gg11
K07-016,BG  xh 1 /Gg11
821103,BG  xh 1 /Gs01
821105,BG  xh 1 /Gs01
9017,BG  xh 1 /Gs01
K07-013,BG  xh 1 /Gs01
K07-014,BG  xh 1 /Gs01
WSO004,BG  xh 1 /Gs01
WSO005,BG  xh 1 /Gs01
811022,BG  xh 1 /Gs10
811023,BG  xh 1 /Gs10
821106,BG  xh 1 /Gs10
913,BG  xh 1 /Gs10
9145,BG  xh 1 /Gs10
915,BG  xh 1 /Gs10
K07-041,BG  xh 1 /Gs10
RC7011,BG  xh 1 /Gs10
RC7015,BG  xh 1 /Gs10
9133,BG  xh 1 /Gs11
K07-036,BG  xh 1 /Gs11
K07-038,BG  xh 1 /Gs11
K07-007,BG  xh 1 /Ro03
K07-034,BG  xh 1 /Ro03
R222682,BG  xh 1 /Ro03
RC6013,BG  xh 1 /Ro03
K07-027,BG  xh 1 /Ro04.1
K11-037,BG  xh 1 /Ro04.1
K11-038,BG  xh 1 /Ro04.1
MCL029,BG  xh 1 /Ro04.2
916,BG  xh 1 /Rt06
K07-004,BG  xh 1 /Rt06
K07-033,BG  xh 1 /Rt06
K07-008,BG  xh 1 /Wm05
K07-009,BG  xh 1 /Wm06
98-029,BG  xh 2 /Ff04
831303,BG  xh 2 /Ff05
831335,BG  xh 2 /Ff05
K11-116,BG  xh 2 /Fl06
831300,BG  xh 2 /Fm01
K11-114,BG  xh 2 /Fm01
K11-117,BG  xh 2 /Fm01
98-028,BG  xh 2 /Fm06
98-033,BG  xh 2 /Fm06
98DM005,BG  xh 2 /Fm06
K99-246,BG  xh 2 /Fm06
9628810,BG  xh 2 /Ga02.2
K06-001,BG  xh 2 /Ga05
R229682,BG  xh 2 /Ga05
98-214,BG  xh 2 /Gg01
831320,BG  xh 2 /Gg03
831323,BG  xh 2 /Gg03
K08-110,BG  xh 2 /Gg03
831331,BG  xh 2 /Gg10
831342,BG  xh 2 /Gg10
MCL005,BG  xh 2 /Gg10
831325,BG  xh 2 /Gg12.1
841506,BG  xh 2 /Gg12.1
98-007,BG  xh 2 /Gg12.1
98-008,BG  xh 2 /Gg12.1
K00-131,BG  xh 2 /Gg12.1
831321,BG  xh 2 /Gg25
831340,BG  xh 2 /Gg25
K16-002,BG  xh 2 /Gg25
K08-050,BG  xh 2 /Gg28
K08-051,BG  xh 2 /Gg28
K08-052,BG  xh 2 /Gg28
K08-109,BG  xh 2 /Gg28
K08-112,BG  xh 2 /Gg28
770004,BG  xh 2 /Gs01
790501,BG  xh 2 /Gs01
831313,BG  xh 2 /Gs01
831314,BG  xh 2 /Gs01
831338,BG  xh 2 /Gs01
831343,BG  xh 2 /Gs01
831360,BG  xh 2 /Gs01
831376,BG  xh 2 /Gs01
841511,BG  xh 2 /Gs01
98-001,BG  xh 2 /Gs01
98-030,BG  xh 2 /Gs01
98-115,BG  xh 2 /Gs01
98-213,BG  xh 2 /Gs01
K99-062,BG  xh 2 /Gs01
MCL01A,BG  xh 2 /Gs01
MCL01C,BG  xh 2 /Gs01
MCL03A,BG  xh 2 /Gs01
MCL04A,BG  xh 2 /Gs01
MCL04D,BG  xh 2 /Gs01
MCL05A,BG  xh 2 /Gs01
MCL05B,BG  xh 2 /Gs01
MCL06C,BG  xh 2 /Gs01
MCL07B,BG  xh 2 /Gs01
MCL07C,BG  xh 2 /Gs01
MCL7B,BG  xh 2 /Gs01
MCLR09,BG  xh 2 /Gs01
R119681,BG  xh 2 /Gs01
R217682,BG  xh 2 /Gs01
831341,BG  xh 2 /Gs03
98MR001,BG  xh 2 /Gs03
K08-111,BG  xh 2 /Gs03
K99-024,BG  xh 2 /Gs03
K99-274,BG  xh 2 /Gs03
R117682,BG  xh 2 /Gs03
98-031,BG  xh 2 /Gs05
98MR002,BG  xh 2 /Gs05
831330,BG  xh 2 /Ro04.1
98-020,BG  xh 2 /Ro04.1
98-032,BG  xh 2 /Ro04.1
98-035,BG  xh 2 /Ro04.1
98-109,BG  xh 2 /Ro04.1
98-111,BG  xh 2 /Ro04.1
K99-061,BG  xh 2 /Ro04.1
K99-236,BG  xh 2 /Ro04.2
K11-118,BG  xh 2 /Rt05
K99-025,BG  xh 2 /Rt05
K00-929,BG  xh 2 /Wm02
K11-115,BG  xh 2 /Wm04
9628825,BG  xh 2 /Wm05
K00-136,BG  xh 2 /Wm05
9627599,BG  xh 2 /Wm06
9628827,BG  xh 2 /Wm06
98KAM06,BG  xh 2 /Wm08
98KAM11,BG  xh 2 /Wm11
K00-926,BG  xh 2 /Ww
95KI052,BG  xh 3 /Ff01
95KI057,BG  xh 3 /Ff01
96RC011,BG  xh 3 /Ff01
95KI050,BG  xh 3 /Ff02
95KI051,BG  xh 3 /Ff02
95KI021,BG  xh 3 /Ff03
95KI006,BG  xh 3 /Fl06
95KI017,BG  xh 3 /Fl06
94171,BG  xh 3 /Fm05
94188,BG  xh 3 /Fm05
K00-345,BG  xh 3 /Fm05
94164,BG  xh 3 /Fm06
98-130,BG  xh 3 /Gg03
98-133,BG  xh 3 /Gg03
LPiX210,BG  xh 3 /Gg03
94130,BG  xh 3 /Gg04
94134,BG  xh 3 /Gg04
9428,BG  xh 3 /Gg04
9471,BG  xh 3 /Gg04
94OS011,BG  xh 3 /Gg04
95K*053,BG  xh 3 /Gg04
95KI010,BG  xh 3 /Gg04
95KI030,BG  xh 3 /Gg04
964118,BG  xh 3 /Gg04
96KI001,BG  xh 3 /Gg04
98-128,BG  xh 3 /Gg04
98-312,BG  xh 3 /Gg04
98-322,BG  xh 3 /Gg04
9425,BG  xh 3 /Gg25
95KI024,BG  xh 3 /Gg25
95KI033,BG  xh 3 /Gg25
95RC003,BG  xh 3 /Gg25
98-129,BG  xh 3 /Gg25
770212,BG  xh 3 /Gg27
94186,BG  xh 3 /Gg27
94210,BG  xh 3 /Gg27
95KI040,BG  xh 3 /Gg27
94174,BG  xh 3 /Gs01
94185,BG  xh 3 /Gs01
94211,BG  xh 3 /Gs01
94OS010,BG  xh 3 /Gs01
95KI001,BG  xh 3 /Gs01
95KI014,BG  xh 3 /Gs01
95RC004,BG  xh 3 /Gs01
964117,BG  xh 3 /Gs01
964174,BG  xh 3 /Gs01
98DM011,BG  xh 3 /Gs01
K00-335,BG  xh 3 /Gs01
LPbg2,BG  xh 3 /Gs01
R107782,BG  xh 3 /Gs01
96KI003,BG  xh 3 /Gs02
K00-343,BG  xh 3 /Gs02a
LPbg1,BG  xh 3 /Gs02a
9405,BG  xh 3 /Gs02b
9424,BG  xh 3 /Gs02b
9427,BG  xh 3 /Gs02b
9463,BG  xh 3 /Gs02b
95KI026,BG  xh 3 /Gs02b
95KI034,BG  xh 3 /Gs02b
K00-342,BG  xh 3 /Gs02b
95KI023,BG  xh 3 /Gs05
9450,BG  xh 3 /Ro04.1
95KI027,BG  xh 3 /Ro04.1
96RC003,BG  xh 3 /Ro04.1
96RC006,BG  xh 3 /Ro04.1
98-132,BG  xh 3 /Ro04.1
98-321,BG  xh 3 /Ro04.1
K00-344,BG  xh 3 /Ro04.1
94118,BG  xh 3 /Rt05
94135,BG  xh 3 /Rt05
96RC004,BG  xh 3 /Rt05
K00-346,BG  xh 3 /Rt05
964173,BG  xh 3 /Wm05
K08-115,BG  xw 1 /Ff02
K13-128,BG  xw 1 /Ff02
K99-206,BG  xw 1 /Ff02
K99-110,BG  xw 1 /Ff04
K99-217,BG  xw 1 /Ff04
K99-278,BG  xw 1 /Ff04
9628816,BG  xw 1 /Fl06
9628839,BG  xw 1 /Fl06
K13-127,BG  xw 1 /Fm01
K99-120,BG  xw 1 /Fm01
K99-244,BG  xw 1 /Fm01
K99-260,BG  xw 1 /Fm05
K08-068,BG  xw 1 /Ga02.1
K08-096,BG  xw 1 /Ga02.1
K08-069,BG  xw 1 /Ga02.2
K08-095,BG  xw 1 /Ga02.2
800644,BG  xw 1 /Ga05
800646,BG  xw 1 /Ga05
831354,BG  xw 1 /Ga05
K99-122,BG  xw 1 /Ga05
K08-066,BG  xw 1 /Ga07
K08-072,BG  xw 1 /Ga07
K08-080,BG  xw 1 /Ga07
K08-094,BG  xw 1 /Ga07
800648,BG  xw 1 /Gg01
800680,BG  xw 1 /Gg01
98-026,BG  xw 1 /Gg01
98-211,BG  xw 1 /Gg01
98-221,BG  xw 1 /Gg01
98DM006,BG  xw 1 /Gg01
K99-002,BG  xw 1 /Gg01
K99-109,BG  xw 1 /Gg01
K99-116,BG  xw 1 /Gg01
K99-202,BG  xw 1 /Gg01
K99-203,BG  xw 1 /Gg01
K99-242,BG  xw 1 /Gg01
K99-261,BG  xw 1 /Gg01
98-027,BG  xw 1 /Gg03
98-210,BG  xw 1 /Gg03
780460,BG  xw 1 /Gg04d
780613,BG  xw 1 /Gg04d
800642,BG  xw 1 /Gg04d
800678,BG  xw 1 /Gg04d
800681,BG  xw 1 /Gg04d
800682,BG  xw 1 /Gg04d
810683,BG  xw 1 /Gg04d
841502,BG  xw 1 /Gg04d
98-212,BG  xw 1 /Gg04d
K99-118,BG  xw 1 /Gg04d
K99-205,BG  xw 1 /Gg04d
K99-249,BG  xw 1 /Gg04d
K99-250,BG  xw 1 /Gg04d
K99-251,BG  xw 1 /Gg04d
K99-253,BG  xw 1 /Gg04d
K99-255,BG  xw 1 /Gg04d
K99-257,BG  xw 1 /Gg04d
K99-271,BG  xw 1 /Gg04d
K99-280,BG  xw 1 /Gg04d
MCLR16B,BG  xw 1 /Gg04d
R119682,BG  xw 1 /Gg04d
R201781,BG  xw 1 /Gg04d
R202781,BG  xw 1 /Gg04d
R302781,BG  xw 1 /Gg04d
VIC1881,BG  xw 1 /Gg04d
VIC1981,BG  xw 1 /Gg04d
780615,BG  xw 1 /Gg10
800647,BG  xw 1 /Gg10
800649,BG  xw 1 /Gg10
810685,BG  xw 1 /Gg10
K99-033,BG  xw 1 /Gg10
MCLR6B,BG  xw 1 /Gg10
841524,BG  xw 1 /Gg12.1
K99-004,BG  xw 1 /Gg12.1
K99-034,BG  xw 1 /Gg12.1
K99-107,BG  xw 1 /Gg12.1
K99-204,BG  xw 1 /Gg12.1
K99-213,BG  xw 1 /Gg12.1
K99-277,BG  xw 1 /Gg12.1
R102781,BG  xw 1 /Gg12.1
K99-001,BG  xw 1 /Ro01.1
K99-005,BG  xw 1 /Ro01.1
K99-035,BG  xw 1 /Ro01.1
K99-207,BG  xw 1 /Ro01.1
K99-214,BG  xw 1 /Ro01.1
K99-243,BG  xw 1 /Ro01.1
K99-276,BG  xw 1 /Ro01.1
K99-117,BG  xw 1 /Ro01.2
K99-279,BG  xw 1 /Ro01.2
831305,BG  xw 1 /Ro04.1
98-206,BG  xw 1 /Ro04.1
98-207,BG  xw 1 /Ro04.1
K99-052,BG  xw 1 /Ro04.1
K99-200,BG  xw 1 /Ro04.1
K99-053,BG  xw 1 /Ro04.2
K99-256,BG  xw 1 /Ro04.2
K99-258,BG  xw 1 /Ro04.2
K99-038,BG  xw 1 /Rt04
K99-201,BG  xw 1 /Rt04
K99-245,BG  xw 1 /Rt04
98-208,BG  xw 1 /Rt05
9628814,BG  xw 1 /Wm03
9628815,BG  xw 1 /Wm05
9628835,BG  xw 1 /Wm05
9628840,BG  xw 1 /Wm05
K00-267,BG  xw 1 /Wm05
9628811,BG  xw 1 /Wm06
9628812,BG  xw 1 /Wm06
K00-268,BG  xw 1 /Wm06
98KAM13,BG  xw 1 /Wm07
