PlotNumber,SiteUnit
9802052,CDF mm   /101
08-0974,CDF mm   /101
08-0985,CDF mm   /101
08-1047,CDF mm   /101
08-1048,CDF mm   /101
08-1089,CDF mm   /101
CDC0010,CDF mm   /101
CDC0015,CDF mm   /101
CDC0021,CDF mm   /101
CDC0124,CDF mm   /101
MAD1219,CDF mm   /101
MAD1410,CDF mm   /101
MAD1426,CDF mm   /101
MAD1636,CDF mm   /101
MAD3850,CDF mm   /101
MAD3734,CDF mm   /101
RCO7650,CDF mm   /101
RO 001,CDF mm   /101
RO 015,CDF mm   /101
RO 024,CDF mm   /101
RO 025,CDF mm   /101
RO 026,CDF mm   /101
RO 029,CDF mm   /101
RO 030,CDF mm   /101
RO 031,CDF mm   /101
RO 035,CDF mm   /101
RO 039,CDF mm   /101
RO 042,CDF mm   /101
RO 046,CDF mm   /101
RO 049,CDF mm   /101
RO 051,CDF mm   /101
RO 056,CDF mm   /101
RO 057,CDF mm   /101
RO 059,CDF mm   /101
RO 067,CDF mm   /101
RO 071,CDF mm   /101
RO 072,CDF mm   /101
RO 077,CDF mm   /101
RO 083,CDF mm   /101
RO 088,CDF mm   /101
RO 089,CDF mm   /101
RO 129,CDF mm   /101
RO 150,CDF mm   /101
RO 162,CDF mm   /101
RO 163,CDF mm   /101
RO 164,CDF mm   /101
RO 171,CDF mm   /101
RO 172,CDF mm   /101
RO 173,CDF mm   /101
RO 177,CDF mm   /101
RO 186,CDF mm   /101
RO 187,CDF mm   /101
RO 259,CDF mm   /101
RO 260,CDF mm   /101
RO 287,CDF mm   /101
RO 293,CDF mm   /101
RO 296,CDF mm   /101
RO 297,CDF mm   /101
RO 349,CDF mm   /101
RO 350,CDF mm   /101
RO 351,CDF mm   /101
RO 352,CDF mm   /101
RO 359,CDF mm   /101
RO 366,CDF mm   /101
RO 372,CDF mm   /101
RO 399,CDF mm   /101
RO 404,CDF mm   /101
RO 405,CDF mm   /101
RO 406,CDF mm   /101
RO 409,CDF mm   /101
RO 412,CDF mm   /101
RO 408,CDF mm   /101
08-0940,CDF mm   /101
08-1092,CDF mm   /101
RCO7782,CDF mm   /101
RO 053,CDF mm   /101
RO 284,CDF mm   /101
RO 388,CDF mm   /101
08-1091,CDF mm   /101
RO 054,CDF mm   /101
RO 070,CDF mm   /101
10-1G2,CDF mm   /101
12-4F1,CDF mm   /101
12-4G4,CDF mm   /101
14-3F10,CDF mm   /101
18-3G2,CDF mm   /101
20-4F3,CDF mm   /101
20-4G8,CDF mm   /101
2-5G4,CDF mm   /101
26-4F2,CDF mm   /101
27-4F2,CDF mm   /101
27-4F3,CDF mm   /101
27-4G2,CDF mm   /101
27-4G4,CDF mm   /101
3-4F6,CDF mm   /101
1-5G1,CDF mm   /101
17-3F2,CDF mm   /101
12-2G1,CDF mm   /101
1121,CDF mm   /101
12-4F3,CDF mm   /101
26-4G1,CDF mm   /101
9802053,CDF mm   /101
MAD1288,CDF mm   /101
MAD1480,CDF mm   /101
MAD3110,CDF mm   /101
RO 152,CDF mm   /101
9802000,CDF mm   /101
MAD1046,CDF mm   /101
MAD1051,CDF mm   /101
11-2F1,CDF mm   /101
15-2G9,CDF mm   /101
23-4G1,CDF mm   /101
14-3F11,CDF mm   /101
14-3G11,CDF mm   /101
18-3F5,CDF mm   /101
25-4F3,CDF mm   /101
25-4G3,CDF mm   /101
4-3F1,CDF mm   /101
4-3F2,CDF mm   /101
RO 060,CDF mm   /101
RO 076,CDF mm   /101
RO 174,CDF mm   /101
RO 063,CDF mm   /101
RO 082,CDF mm   /101
RO 355,CDF mm   /101
RO 040,CDF mm   /101
RO 143,CDF mm   /101
RO 045,CDF mm   /101
24-4F1,CDF mm   /101
5-5G1,CDF mm   /101
RO 028,CDF mm   /101
CDC0012,CDF mm   /101
MAD3437,CDF mm   /101
RO 022,CDF mm   /101
RO 165,CDF mm   /101
RO 343,CDF mm   /101
RO 370,CDF mm   /101
RO 292,CDF mm   /101
RO 252,CDF mm   /101
MAD3536,CDF mm   /102
MAD3540,CDF mm   /102
MAD3574,CDF mm   /102
VRI896,CDF mm   /102
CDC0227,CDF mm   /102
MAD4014,CDF mm   /102
26-4F4,CDF mm   /102
18-3F6,CDF mm   /102
3-4G5,CDF mm   /102
16-2F11,CDF mm   /102
16-2G2,CDF mm   /102
19-1G1,CDF mm   /102
3-1F1,CDF mm   /102
MAD1242,CDF mm   /102
13-3F3,CDF mm   /102
3-1G3,CDF mm   /102
6-1G2,CDF mm   /102
MAD3560,CDF mm   /102
13-3F1,CDF mm   /102
15-2F11,CDF mm   /102
4-5G2,CDF mm   /102
13-3F5,CDF mm   /102
3-4G3,CDF mm   /102
3-4G1,CDF mm   /102
ERBN05,CDF mm   /103
ERCO01,CDF mm   /103
ERCO02,CDF mm   /103
