PlotNumber,SiteUnit
08-5550,CWH ds 1 /101
11-9700,CWH ds 1 /101
11-9732,CWH ds 1 /101
11-9733,CWH ds 1 /101
12MR06,CWH ds 1 /101
BIRK58,CWH ds 1 /101
CALL67,CWH ds 1 /101
FTR485,CWH ds 1 /101
FTR486,CWH ds 1 /101
FTR487,CWH ds 1 /101
FTR488,CWH ds 1 /101
FTR489,CWH ds 1 /101
GATE14,CWH ds 1 /101
GATE22,CWH ds 1 /101
GATE39,CWH ds 1 /101
GATE51,CWH ds 1 /101
KR 250,CWH ds 1 /101
LR 270,CWH ds 1 /101
LR 271,CWH ds 1 /101
MAD2245,CWH ds 1 /101
MAD2252,CWH ds 1 /101
MAD2256,CWH ds 1 /101
MAD2270,CWH ds 1 /101
MAD2275,CWH ds 1 /101
NM2051,CWH ds 1 /101
NM2085,CWH ds 1 /101
NM2120,CWH ds 1 /101
NM2121,CWH ds 1 /101
RYAN024,CWH ds 1 /101
RYAN087,CWH ds 1 /101
SC 116,CWH ds 1 /101
SC 117,CWH ds 1 /101
SOO47,CWH ds 1 /101
UC 134,CWH ds 1 /101
VV0029,CWH ds 1 /101
VV0031,CWH ds 1 /101
VV0099,CWH ds 1 /101
VV0101,CWH ds 1 /101
VV0135,CWH ds 1 /101
CALL52,CWH ds 1 /102
CALL70,CWH ds 1 /102
MAD2932,CWH ds 1 /102
SOO46,CWH ds 1 /102
08-5521,CWH ds 1 /103
08-5527,CWH ds 1 /103
12MR04,CWH ds 1 /103
BIRK14,CWH ds 1 /103
BIRK46,CWH ds 1 /103
BIRK57,CWH ds 1 /103
CALL68,CWH ds 1 /103
GATE40,CWH ds 1 /103
GATE47,CWH ds 1 /103
MAD2246,CWH ds 1 /103
MAD2247,CWH ds 1 /103
MAD2249,CWH ds 1 /103
MAD2250,CWH ds 1 /103
MAD2251,CWH ds 1 /103
MAD2255,CWH ds 1 /103
MAD2276,CWH ds 1 /103
NM2059,CWH ds 1 /103
NM2079,CWH ds 1 /103
NM2081,CWH ds 1 /103
NM2082,CWH ds 1 /103
RCO7920,CWH ds 1 /103
RYAN030,CWH ds 1 /103
RYAN032,CWH ds 1 /103
RYAN079,CWH ds 1 /103
SOO73,CWH ds 1 /103
VRI1125,CWH ds 1 /103
VRI1132,CWH ds 1 /103
08-5485,CWH ds 1 /104
GATE41,CWH ds 1 /104
VV0043,CWH ds 1 /104
08-5519,CWH ds 1 /110
11-9706,CWH ds 1 /110
12-1933,CWH ds 1 /110
BSIL01,CWH ds 1 /110
BSIL02,CWH ds 1 /110
HARR08,CWH ds 1 /110
HARR09,CWH ds 1 /110
HARR10,CWH ds 1 /110
HARR11,CWH ds 1 /110
HARR13,CWH ds 1 /110
HARR14,CWH ds 1 /110
HARR21,CWH ds 1 /110
HARR22,CWH ds 1 /110
NM2122,CWH ds 1 /110
UC 135,CWH ds 1 /110
VV0117,CWH ds 1 /110
34879,CWH ds 1 /112
08-5526,CWH ds 1 /112
BIRK64,CWH ds 1 /112
GATE38,CWH ds 1 /112
HARR07,CWH ds 1 /112
HARR12,CWH ds 1 /112
HARR20,CWH ds 1 /112
HARR23,CWH ds 1 /112
KR 248,CWH ds 1 /112
MAD2248,CWH ds 1 /112
MAD2930,CWH ds 1 /112
SC 115,CWH ds 1 /112
SC 118,CWH ds 1 /112
VV0030,CWH ds 1 /112
34479,CWH ds 1 /113
34579,CWH ds 1 /113
08-5522,CWH ds 1 /113
08-5540,CWH ds 1 /113
08-5558,CWH ds 1 /113
ELAH06,CWH ds 1 /113
T  015,CWH ds 1 /113
T  016,CWH ds 1 /113
08-5523,CWH ds 1 /114
08-5525,CWH ds 1 /114
ELAH04,CWH ds 1 /114
ELAH05,CWH ds 1 /114
HM00037,CWH ds 1 /114
HM00038,CWH ds 1 /114
HM00039,CWH ds 1 /114
HM00040,CWH ds 1 /114
HM00041,CWH ds 1 /114
HM00042,CWH ds 1 /114
MAD2944,CWH ds 1 /114
08-5524,CWH ds 1 /115
ELAH03,CWH ds 1 /115
CALL69,CWH ds 1 /117
