PlotNumber,SiteUnit
08-5462,CWH xm 2 /101
08-5481,CWH xm 2 /101
1131,CWH xm 2 /101
1147,CWH xm 2 /101
1148,CWH xm 2 /101
1179,CWH xm 2 /101
1185,CWH xm 2 /101
11-9737,CWH xm 2 /101
1200,CWH xm 2 /101
1201,CWH xm 2 /101
12-1969,CWH xm 2 /101
12-1971,CWH xm 2 /101
8235004,CWH xm 2 /101
8235027,CWH xm 2 /101
8235202,CWH xm 2 /101
8235225,CWH xm 2 /101
8235232,CWH xm 2 /101
8235243,CWH xm 2 /101
8235279,CWH xm 2 /101
82RF054,CWH xm 2 /101
9622297,CWH xm 2 /101
9622302,CWH xm 2 /101
9622304,CWH xm 2 /101
9800080,CWH xm 2 /101
9800155,CWH xm 2 /101
CDC0090,CWH xm 2 /101
CDC0107,CWH xm 2 /101
CDC0116,CWH xm 2 /101
CDC0132,CWH xm 2 /101
CDC0139,CWH xm 2 /101
CDC0168,CWH xm 2 /101
CDC0180,CWH xm 2 /101
CDC0986,CWH xm 2 /101
CDC1050,CWH xm 2 /101
CDC1102,CWH xm 2 /101
FPR534,CWH xm 2 /101
FPR535,CWH xm 2 /101
FPR536,CWH xm 2 /101
FPR537,CWH xm 2 /101
FTR524,CWH xm 2 /101
FTR525,CWH xm 2 /101
FTR526,CWH xm 2 /101
GD001,CWH xm 2 /101
GD004,CWH xm 2 /101
GD005,CWH xm 2 /101
GD007,CWH xm 2 /101
GD009,CWH xm 2 /101
GD012,CWH xm 2 /101
GD021,CWH xm 2 /101
GD022,CWH xm 2 /101
GD023,CWH xm 2 /101
GD025,CWH xm 2 /101
GD027,CWH xm 2 /101
GD030,CWH xm 2 /101
GD031,CWH xm 2 /101
GD032,CWH xm 2 /101
GD035,CWH xm 2 /101
GD036,CWH xm 2 /101
GR 099,CWH xm 2 /101
GR 100,CWH xm 2 /101
JERV29,CWH xm 2 /101
JERV37,CWH xm 2 /101
KO 053,CWH xm 2 /101
KO 064,CWH xm 2 /101
KO 065,CWH xm 2 /101
KO 069,CWH xm 2 /101
KO 081,CWH xm 2 /101
KO 083,CWH xm 2 /101
KO 085,CWH xm 2 /101
MAD1789,CWH xm 2 /101
MAD2380,CWH xm 2 /101
MAD2381,CWH xm 2 /101
MAD2500,CWH xm 2 /101
MAD2502,CWH xm 2 /101
MAD2980,CWH xm 2 /101
MAD3080,CWH xm 2 /101
MCG1,CWH xm 2 /101
MCM1,CWH xm 2 /101
MCM2,CWH xm 2 /101
MP 102,CWH xm 2 /101
MP 103,CWH xm 2 /101
MP 104,CWH xm 2 /101
MP 105,CWH xm 2 /101
MP 106,CWH xm 2 /101
MP 107,CWH xm 2 /101
MP 143,CWH xm 2 /101
NM2006,CWH xm 2 /101
NM2039,CWH xm 2 /101
