PlotNumber,SiteUnit
08-0972,CWH xs   /101
08-1060,CWH xs   /101
08-1063,CWH xs   /101
08-1065,CWH xs   /101
08-1066,CWH xs   /101
08-1067,CWH xs   /101
12-9527,CWH xs   /101
12-9528,CWH xs   /101
14-0422,CWH xs   /101
14-0455,CWH xs   /101
14-4144,CWH xs   /101
FSK552,CWH xs   /101
FSK553,CWH xs   /101
FSK554,CWH xs   /101
FSK555,CWH xs   /101
FSK556,CWH xs   /101
FSK558,CWH xs   /101
FSK559,CWH xs   /101
FSK560,CWH xs   /101
FSK563,CWH xs   /101
FSK564,CWH xs   /101
FSK565,CWH xs   /101
FSK566,CWH xs   /101
FSK567,CWH xs   /101
FSK568,CWH xs   /101
FSK571,CWH xs   /101
FSK572,CWH xs   /101
FTR497,CWH xs   /101
FTR498,CWH xs   /101
FTR508,CWH xs   /101
FTR519,CWH xs   /101
FTR520,CWH xs   /101
FTR523,CWH xs   /101
RCO7917,CWH xs   /101
RCO7918,CWH xs   /101
RCO7919,CWH xs   /101
SK93702,CWH xs   /101
SK93703,CWH xs   /101
SK93706,CWH xs   /101
SK93707,CWH xs   /101
SK93708,CWH xs   /101
SK93709,CWH xs   /101
SK93718,CWH xs   /101
SK93726,CWH xs   /101
SK93728,CWH xs   /101
SK93729,CWH xs   /101
SK93730,CWH xs   /101
SK93731,CWH xs   /101
SK93732,CWH xs   /101
SK93733,CWH xs   /101
SK93739,CWH xs   /101
SK93743,CWH xs   /101
SK93744,CWH xs   /101
SK93745,CWH xs   /101
SK93746,CWH xs   /101
VV0093,CWH xs   /101
VV0095,CWH xs   /101
VV0126,CWH xs   /101
FSK551,CWH xs   /101$
FSK557,CWH xs   /101$
FSK561,CWH xs   /101.1
FSK562,CWH xs   /101.1
SK93704,CWH xs   /101.1
SK93705,CWH xs   /101.1
SK93712,CWH xs   /101.1
SK93713,CWH xs   /101.1
SK93714,CWH xs   /101.1
SK93715,CWH xs   /101.1
SK93716,CWH xs   /101.1
SK93717,CWH xs   /101.1
SK93719,CWH xs   /101.1
SK93741,CWH xs   /101.1
SK93742,CWH xs   /101.1
12-9720,CWH xs   /102
12-9721,CWH xs   /102
08-1062,CWH xs   /103
12-9526,CWH xs   /103
12-9600,CWH xs   /103
14-4136,CWH xs   /103
14-4141,CWH xs   /103
14-4143,CWH xs   /103
FSK549,CWH xs   /103
RCO7916,CWH xs   /103
SK93701,CWH xs   /103
SK93720,CWH xs   /103
SK93723,CWH xs   /103
SK93724,CWH xs   /103
SK93727,CWH xs   /103
SK93737,CWH xs   /103
SK93738,CWH xs   /103
SK93740,CWH xs   /103
VV0096,CWH xs   /103
12-9723,CWH xs   /110
12-9724,CWH xs   /110
12-9725,CWH xs   /110
12-9727,CWH xs   /110
14-4142,CWH xs   /110
14-4147,CWH xs   /110
14-4148,CWH xs   /110
FSK569,CWH xs   /110
FSK570,CWH xs   /110
FSK573,CWH xs   /110
SK93725,CWH xs   /110
08-1061,CWH xs   /111
08-1064,CWH xs   /111
14-0405,CWH xs   /111
14-0454,CWH xs   /111
14-0459,CWH xs   /111
14-4139,CWH xs   /111
14-4145,CWH xs   /111
14-4146,CWH xs   /111
FSK574,CWH xs   /111
FSK575,CWH xs   /111
FSK576,CWH xs   /111
FSK577,CWH xs   /111
FSK578,CWH xs   /111
FSK579,CWH xs   /111
FSK580,CWH xs   /111
FSK581,CWH xs   /111
FTR506,CWH xs   /111
RCO7921,CWH xs   /111
VV0094,CWH xs   /111
12-9726,CWH xs   /112
14-4137,CWH xs   /Fl
14-4150,CWH xs   /Fl
12-1999,CWH xs   /Fm
12-9729,CWH xs   /Fm
14-4138,CWH xs   /Fm
14-4149,CWH xs   /Fm
14-4151,CWH xs   /Fm
