PlotNumber,SiteUnit
22680,MH  mm 2 /101a 
08-0991,MH  mm 2 /101a 
08-0993,MH  mm 2 /101a 
08-0996,MH  mm 2 /101a 
08-1021,MH  mm 2 /101a 
08-5491,MH  mm 2 /101a 
11-9805,MH  mm 2 /101a 
11-9807,MH  mm 2 /101a 
11-9900,MH  mm 2 /101a 
11-9901,MH  mm 2 /101a 
120580,MH  mm 2 /101a 
12-1920,MH  mm 2 /101a 
12-1923,MH  mm 2 /101a 
12-1976,MH  mm 2 /101a 
12-2241,MH  mm 2 /101a 
12-2245,MH  mm 2 /101a 
12-2249,MH  mm 2 /101a 
12-2257,MH  mm 2 /101a 
12-2261,MH  mm 2 /101a 
12-2269,MH  mm 2 /101a 
123980,MH  mm 2 /101a 
703250,MH  mm 2 /101a 
703350,MH  mm 2 /101a 
8216375,MH  mm 2 /101a 
8216389,MH  mm 2 /101a 
8216398,MH  mm 2 /101a 
8216425,MH  mm 2 /101a 
8216443,MH  mm 2 /101a 
8216460,MH  mm 2 /101a 
8216479,MH  mm 2 /101a 
8216493,MH  mm 2 /101a 
8216494,MH  mm 2 /101a 
964037,MH  mm 2 /101a 
BB2B13,MH  mm 2 /101a 
BB2G3,MH  mm 2 /101a 
BB2Y10,MH  mm 2 /101a 
BB2Y24,MH  mm 2 /101a 
BB2Y36,MH  mm 2 /101a 
BC1B28,MH  mm 2 /101a 
BC1M24,MH  mm 2 /101a 
BC2B2,MH  mm 2 /101a 
BC2B4,MH  mm 2 /101a 
BC2B45,MH  mm 2 /101a 
BIRK21,MH  mm 2 /101a 
BIRK22,MH  mm 2 /101a 
BIRK44,MH  mm 2 /101a 
BIRK70,MH  mm 2 /101a 
CALL07,MH  mm 2 /101a 
CALL20,MH  mm 2 /101a 
CALL41,MH  mm 2 /101a 
CALL43,MH  mm 2 /101a 
CALL50,MH  mm 2 /101a 
CALL75,MH  mm 2 /101a 
CW8804,MH  mm 2 /101a 
CW8805,MH  mm 2 /101a 
EB1B12,MH  mm 2 /101a 
EB1B15,MH  mm 2 /101a 
EB1B29,MH  mm 2 /101a 
EB1B36,MH  mm 2 /101a 
EB1M12,MH  mm 2 /101a 
EB1M30,MH  mm 2 /101a 
EB1M31,MH  mm 2 /101a 
EB1M40,MH  mm 2 /101a 
EB2B23,MH  mm 2 /101a 
EB2B25,MH  mm 2 /101a 
EB2Y28,MH  mm 2 /101a 
412882,MH  mm 2 /101a 
419679,MH  mm 2 /101a 
435479,MH  mm 2 /101a 
435679,MH  mm 2 /101a 
436879,MH  mm 2 /101a 
440479,MH  mm 2 /101a 
443879,MH  mm 2 /101a 
443979,MH  mm 2 /101a 
444479,MH  mm 2 /101a 
EB3M23,MH  mm 2 /101a 
EB3Y40,MH  mm 2 /101a 
K  021,MH  mm 2 /101a 
K  029,MH  mm 2 /101a 
MH94005,MH  mm 2 /101a 
MH94009,MH  mm 2 /101a 
MH94012,MH  mm 2 /101a 
MH94013,MH  mm 2 /101a 
MH94014,MH  mm 2 /101a 
MH94015,MH  mm 2 /101a 
MH94019,MH  mm 2 /101a 
MH94023,MH  mm 2 /101a 
MH94024,MH  mm 2 /101a 
MH94028,MH  mm 2 /101a 
MH94041,MH  mm 2 /101a 
MH94045,MH  mm 2 /101a 
MH94053,MH  mm 2 /101a 
MH94069,MH  mm 2 /101a 
MH94076,MH  mm 2 /101a 
MH94079,MH  mm 2 /101a 
MH94091,MH  mm 2 /101a 
MH94094,MH  mm 2 /101a 
MH94100,MH  mm 2 /101a 
MH94101,MH  mm 2 /101a 
MH94102,MH  mm 2 /101a 
MH94105,MH  mm 2 /101a 
MH94107,MH  mm 2 /101a 
MH94109,MH  mm 2 /101a 
MH94110,MH  mm 2 /101a 
NM2049,MH  mm 2 /101a 
NM2052,MH  mm 2 /101a 
NM2053,MH  mm 2 /101a 
NM2055,MH  mm 2 /101a 
NM2086,MH  mm 2 /101a 
NM2088,MH  mm 2 /101a 
NM2100,MH  mm 2 /101a 
NM2118,MH  mm 2 /101a 
NR2M19,MH  mm 2 /101a 
NR2Y20,MH  mm 2 /101a 
NR2Y53,MH  mm 2 /101a 
RYAN003,MH  mm 2 /101a 
RYAN006,MH  mm 2 /101a 
RYAN017,MH  mm 2 /101a 
RYAN019,MH  mm 2 /101a 
RYAN022,MH  mm 2 /101a 
RYAN023,MH  mm 2 /101a 
RYAN045,MH  mm 2 /101a 
RYAN048,MH  mm 2 /101a 
RYAN050,MH  mm 2 /101a 
RYAN053,MH  mm 2 /101a 
RYAN062,MH  mm 2 /101a 
RYAN063,MH  mm 2 /101a 
RYAN068,MH  mm 2 /101a 
RYAN071,MH  mm 2 /101a 
RYAN078,MH  mm 2 /101a 
RYAN099,MH  mm 2 /101a 
SOO07,MH  mm 2 /101a 
SOO18,MH  mm 2 /101a 
SOO19,MH  mm 2 /101a 
SOO28,MH  mm 2 /101a 
SOO29,MH  mm 2 /101a 
SOO30,MH  mm 2 /101a 
SOO34,MH  mm 2 /101a 
SOO36,MH  mm 2 /101a 
SOO42,MH  mm 2 /101a 
SOO43,MH  mm 2 /101a 
SOO49,MH  mm 2 /101a 
SOO51,MH  mm 2 /101a 
SOO77,MH  mm 2 /101a 
T  023,MH  mm 2 /101a 
T  024,MH  mm 2 /101a 
T  035,MH  mm 2 /101a 
T  036,MH  mm 2 /101a 
UPLI01,MH  mm 2 /101a 
UPLI04,MH  mm 2 /101a 
UPLI11,MH  mm 2 /101a 
UPLI19,MH  mm 2 /101a 
UPLI21,MH  mm 2 /101a 
UPLI22,MH  mm 2 /101a 
UPLI24,MH  mm 2 /101a 
VRI871,MH  mm 2 /101a 
VV0037,MH  mm 2 /101a 
VV0073,MH  mm 2 /101a 
VV0123,MH  mm 2 /101a 
00NCm33,MH  mm 2 /101b
08-5382,MH  mm 2 /101b
12-1918,MH  mm 2 /101b
12-1921,MH  mm 2 /101b
12-1937,MH  mm 2 /101b
12-1983,MH  mm 2 /101b
BB2B20,MH  mm 2 /101b
CALL31,MH  mm 2 /101b
EB3Y28,MH  mm 2 /101b
K  023,MH  mm 2 /101b
MH94036,MH  mm 2 /101b
SOO15,MH  mm 2 /101b
SOO78,MH  mm 2 /101b
T  037,MH  mm 2 /101b
VRI1134,MH  mm 2 /101b
MH94025,MH  mm 2 /102
08-5514,MH  mm 2 /102 
08-5587,MH  mm 2 /102 
12-1919,MH  mm 2 /102 
12-1938,MH  mm 2 /102 
12-1984,MH  mm 2 /102 
12-2242,MH  mm 2 /102 
12-2272,MH  mm 2 /102 
BB2B30,MH  mm 2 /102 
BB2Y30,MH  mm 2 /102 
BC2G14,MH  mm 2 /102 
EB2Y29,MH  mm 2 /102 
MH94016,MH  mm 2 /102 
MH94037,MH  mm 2 /102 
MH94081,MH  mm 2 /102 
SOO31,MH  mm 2 /102 
SOO41,MH  mm 2 /102 
12-2251,MH  mm 2 /104
8216452,MH  mm 2 /104
BB2Y32,MH  mm 2 /104
BC2Y5,MH  mm 2 /104
BC3M37,MH  mm 2 /104
BC3Y37,MH  mm 2 /104
EB1B33,MH  mm 2 /104
EB1B42,MH  mm 2 /104
EB2Y15,MH  mm 2 /104
MH94007,MH  mm 2 /104
MH94017,MH  mm 2 /104
MH94044,MH  mm 2 /104
8216384,MH  mm 2 /105
8216390,MH  mm 2 /105
8216400,MH  mm 2 /105
8216409,MH  mm 2 /105
BB2B11,MH  mm 2 /105
BB2B25,MH  mm 2 /105
BB2G7,MH  mm 2 /105
