PlotNumber,SiteUnit
RC7014,BG  xh 1 /
RC7009,BG  xh 1 /
R322682,BG  xh 1 /00
RC6061,BG  xh 1 /01
RC7082,BG  xh 1 /01
RC7005,BG  xh 1 /01
RC7002,BG  xh 1 /01
821104,BG  xh 1 /01
811100,BG  xh 1 /01
821103,BG  xh 1 /01
811101,BG  xh 1 /01
RC7006,BG  xh 1 /01
RC7021,BG  xh 1 /01
RC7022,BG  xh 1 /01
811038,BG  xh 1 /01
811001,BG  xh 1 /01
811102,BG  xh 1 /01
R221682,BG  xh 1 /01
MCL048,BG  xh 1 /01ms
RC7001,BG  xh 1 /01ms
RC6035,BG  xh 1 /02
811021,BG  xh 1 /02
BRA092,BG  xh 1 /02
RC6012,BG  xh 1 /02
RC6016,BG  xh 1 /02
RC6017,BG  xh 1 /02
RC6511,BG  xh 1 /03
RC7011,BG  xh 1 /03
811022,BG  xh 1 /03
RC7000,BG  xh 1 /03
MCL029,BG  xh 1 /03
811023,BG  xh 1 /03
RC6513,BG  xh 1 /03
RC7004,BG  xh 1 /03
821106,BG  xh 1 /03
BRA086,BG  xh 1 /04
BRA011,BG  xh 1 /04
BRA012,BG  xh 1 /04
BRA013,BG  xh 1 /04
BRA017,BG  xh 1 /04
BRA018,BG  xh 1 /04
BRA019,BG  xh 1 /04
BRA021,BG  xh 1 /04
BRA024,BG  xh 1 /04
BRA025,BG  xh 1 /04
BRA076,BG  xh 1 /04
BRA077,BG  xh 1 /04
BRA078,BG  xh 1 /04
BRA079,BG  xh 1 /04
BRA082,BG  xh 1 /04
BRA083,BG  xh 1 /04
BRA084,BG  xh 1 /04
BRA085,BG  xh 1 /04
RC6510,BG  xh 1 /04
BRA020,BG  xh 1 /04
BRA087,BG  xh 1 /04
RC7008,BG  xh 1 /04
RC6512,BG  xh 1 /04
BRA022,BG  xh 1 /05
BRA023,BG  xh 1 /05
BRA081,BG  xh 1 /05
BRA111,BG  xh 1 /05
BRA009,BG  xh 1 /05
