PlotNumber,SiteUnit
114616,CMA wh   /Ah33
114619,CMA wh   /Ah33
02-1051,CMA wh   /Ah33
02-1060,CMA wh   /Ah33
02-1061,CMA wh   /Ah33
GHT152,CMA wh   /Ah33
GHT153,CMA wh   /Ah33
GHT161,CMA wh   /Ah33
GHT305,CMA wh   /Ah33
114614,CMA wh   /Ah34
114617,CMA wh   /Ah34
114772,CMA wh   /Ah34
114773,CMA wh   /Ah34
9620028,CMA wh   /Ah34
02-1062,CMA wh   /Ah34
GHT162,CMA wh   /Ah34
110550,CWH vh 3 /101a
111150,CWH vh 3 /101a
111350,CWH vh 3 /101a
111550,CWH vh 3 /101a
111650,CWH vh 3 /101a
112150,CWH vh 3 /101a
112450,CWH vh 3 /101a
112550,CWH vh 3 /101a
163181,CWH vh 3 /101a
164381,CWH vh 3 /101a
164681,CWH vh 3 /101a
164881,CWH vh 3 /101a
165781,CWH vh 3 /101a
165981,CWH vh 3 /101a
166181,CWH vh 3 /101a
166481,CWH vh 3 /101a
208150,CWH vh 3 /101a
208550,CWH vh 3 /101a
401979,CWH vh 3 /101a
402779,CWH vh 3 /101a
404679,CWH vh 3 /101a
405379,CWH vh 3 /101a
407979,CWH vh 3 /101a
408579,CWH vh 3 /101a
437979,CWH vh 3 /101a
438079,CWH vh 3 /101a
446479,CWH vh 3 /101a
446579,CWH vh 3 /101a
580179,CWH vh 3 /101a
580279,CWH vh 3 /101a
581079,CWH vh 3 /101a
581579,CWH vh 3 /101a
634780,CWH vh 3 /101a
636580,CWH vh 3 /101a
636880,CWH vh 3 /101a
638280,CWH vh 3 /101a
638480,CWH vh 3 /101a
638780,CWH vh 3 /101a
802650,CWH vh 3 /101a
1258181,CWH vh 3 /101a
1266081,CWH vh 3 /101a
1266381,CWH vh 3 /101a
1266481,CWH vh 3 /101a
1266581,CWH vh 3 /101a
1267381,CWH vh 3 /101a
9619072,CWH vh 3 /101a
GHT018,CWH vh 3 /101a
GHT022,CWH vh 3 /101a
GHT048,CWH vh 3 /101a
GHT065,CWH vh 3 /101a
GHT068,CWH vh 3 /101a
GHT084,CWH vh 3 /101a
GHT099,CWH vh 3 /101a
GHT128,CWH vh 3 /101a
GHT133,CWH vh 3 /101a
GHT180,CWH vh 3 /101a
GHT185,CWH vh 3 /101a
GHT190,CWH vh 3 /101a
GHT191,CWH vh 3 /101a
GHT314,CWH vh 3 /101a
GHT316,CWH vh 3 /101a
PS9259,CWH vh 3 /101a
PS9262,CWH vh 3 /101a
PS9271,CWH vh 3 /101a
PS9291,CWH vh 3 /101a
PS9293,CWH vh 3 /101a
PS9304,CWH vh 3 /101a
PS9306,CWH vh 3 /101a
PS9322,CWH vh 3 /101a
PS9326,CWH vh 3 /101a
PS9339,CWH vh 3 /101a
PS9352,CWH vh 3 /101a
PS9354,CWH vh 3 /101a
PS9355,CWH vh 3 /101a
PS9381,CWH vh 3 /101a
PS9388,CWH vh 3 /101a
PS9391,CWH vh 3 /101a
PS9392,CWH vh 3 /101a
SEW110,CWH vh 3 /101a
SEW112,CWH vh 3 /101a
SEW113,CWH vh 3 /101a
SEW126,CWH vh 3 /101a
22880,CWH vh 3 /101b
111050,CWH vh 3 /101b
111850,CWH vh 3 /101b
165381,CWH vh 3 /101b
403379,CWH vh 3 /101b
573079,CWH vh 3 /101b
573279,CWH vh 3 /101b
573379,CWH vh 3 /101b
573579,CWH vh 3 /101b
635080,CWH vh 3 /101b
635880,CWH vh 3 /101b
636680,CWH vh 3 /101b
1266181,CWH vh 3 /101b
1266981,CWH vh 3 /101b
GHT037,CWH vh 3 /101b
GHT038,CWH vh 3 /101b
GHT042,CWH vh 3 /101b
GHT053,CWH vh 3 /101b
GHT059,CWH vh 3 /101b
GHT069,CWH vh 3 /101b
GHT076,CWH vh 3 /101b
GHT078,CWH vh 3 /101b
GHT129,CWH vh 3 /101b
GHT130,CWH vh 3 /101b
GHT131,CWH vh 3 /101b
GHT135,CWH vh 3 /101b
GHT159,CWH vh 3 /101b
PS9272,CWH vh 3 /101b
PS9320,CWH vh 3 /101b
PS9336,CWH vh 3 /101b
PS9337,CWH vh 3 /101b
PS9383,CWH vh 3 /101b
SEW101,CWH vh 3 /101b
SEW103,CWH vh 3 /101b
SEW124,CWH vh 3 /101b
SEW125,CWH vh 3 /101b
SEW129,CWH vh 3 /101b
1266681,CWH vh 3 /101c
GHT029,CWH vh 3 /101c
GHT080,CWH vh 3 /101c
GHT132,CWH vh 3 /101c
GHT149,CWH vh 3 /101c
GHT156,CWH vh 3 /101c
PS9299,CWH vh 3 /101c
PS9305,CWH vh 3 /101c
PS9328,CWH vh 3 /101c
PS9350,CWH vh 3 /101c
PS9373,CWH vh 3 /101c
PS9374,CWH vh 3 /101c
634680,CWH vh 3 /102
GHT007,CWH vh 3 /102
GHT058,CWH vh 3 /102
GHT079,CWH vh 3 /102
GHT081,CWH vh 3 /102
GHT143,CWH vh 3 /102
GHT158,CWH vh 3 /102
GHT173,CWH vh 3 /102
GHT188,CWH vh 3 /102
GHT195,CWH vh 3 /102
GHT197,CWH vh 3 /102
GHT199,CWH vh 3 /102
GHT302,CWH vh 3 /102
PS9290,CWH vh 3 /102
PS9295,CWH vh 3 /102
165281,CWH vh 3 /103.1
GHT040,CWH vh 3 /103.1
GHT043,CWH vh 3 /103.1
GHT044,CWH vh 3 /103.1
GHT052,CWH vh 3 /103.1
GHT179,CWH vh 3 /103.1
GHT328,CWH vh 3 /103.1
PS9282,CWH vh 3 /103.1
PS9289,CWH vh 3 /103.1
116681,CWH vh 3 /103.2
02-1040,CWH vh 3 /103.2
GHT009,CWH vh 3 /103.2
GHT039,CWH vh 3 /103.2
GHT041,CWH vh 3 /103.2
GHT073,CWH vh 3 /103.2
GHT074,CWH vh 3 /103.2
GHT075,CWH vh 3 /103.2
GHT141,CWH vh 3 /103.2
GHT165,CWH vh 3 /103.2
GHT166,CWH vh 3 /103.2
GHT187,CWH vh 3 /103.2
GHT203,CWH vh 3 /103.2
GHT204,CWH vh 3 /103.2
GHT205,CWH vh 3 /103.2
GHT325,CWH vh 3 /103.2
PS9298,CWH vh 3 /103.2
PS9329,CWH vh 3 /103.2
PS9330,CWH vh 3 /103.2
164481,CWH vh 3 /104
164581,CWH vh 3 /104
GHT077,CWH vh 3 /104
GHT184,CWH vh 3 /104
PS9303,CWH vh 3 /104
PS9338,CWH vh 3 /104
208250,CWH vh 3 /105
208350,CWH vh 3 /105
403179,CWH vh 3 /105
404779,CWH vh 3 /105
437779,CWH vh 3 /105
445779,CWH vh 3 /105
572279,CWH vh 3 /105
573479,CWH vh 3 /105
573979,CWH vh 3 /105
575179,CWH vh 3 /105
579879,CWH vh 3 /105
580779,CWH vh 3 /105
638580,CWH vh 3 /105
639580,CWH vh 3 /105
639780,CWH vh 3 /105
802450,CWH vh 3 /105
1266881,CWH vh 3 /105
GHT031,CWH vh 3 /105
GHT140,CWH vh 3 /105
GHT167,CWH vh 3 /105
PS9280,CWH vh 3 /105
PS9325,CWH vh 3 /105
PS9332,CWH vh 3 /105
PS9372,CWH vh 3 /105
SEW106,CWH vh 3 /105
SEW116,CWH vh 3 /105
SEW121,CWH vh 3 /105
SEW128,CWH vh 3 /105
100150,CWH vh 3 /106
112250,CWH vh 3 /106
578979,CWH vh 3 /106
579179,CWH vh 3 /106
580479,CWH vh 3 /106
638880,CWH vh 3 /106
638980,CWH vh 3 /106
802050,CWH vh 3 /106
802350,CWH vh 3 /106
GHT208,CWH vh 3 /106
GHT213,CWH vh 3 /106
PS9346,CWH vh 3 /106
PS9370,CWH vh 3 /106
PS9385,CWH vh 3 /106
SEW104,CWH vh 3 /106
SEW127,CWH vh 3 /106
110450,CWH vh 3 /110a
111750,CWH vh 3 /110a
112650,CWH vh 3 /110a
116486,CWH vh 3 /110a
164981,CWH vh 3 /110a
208450,CWH vh 3 /110a
402979,CWH vh 3 /110a
403479,CWH vh 3 /110a
404479,CWH vh 3 /110a
405279,CWH vh 3 /110a
406879,CWH vh 3 /110a
409879,CWH vh 3 /110a
438179,CWH vh 3 /110a
572079,CWH vh 3 /110a
574779,CWH vh 3 /110a
575679,CWH vh 3 /110a
575779,CWH vh 3 /110a
578779,CWH vh 3 /110a
579079,CWH vh 3 /110a
579679,CWH vh 3 /110a
580579,CWH vh 3 /110a
581279,CWH vh 3 /110a
640080,CWH vh 3 /110a
802550,CWH vh 3 /110a
1267281,CWH vh 3 /110a
GHT060,CWH vh 3 /110a
GHT171,CWH vh 3 /110a
GHT351,CWH vh 3 /110a
PS9279,CWH vh 3 /110a
PS9302,CWH vh 3 /110a
PS9311,CWH vh 3 /110a
PS9345,CWH vh 3 /110a
PS9375,CWH vh 3 /110a
111450,CWH vh 3 /110b
165681,CWH vh 3 /110b
446279,CWH vh 3 /110b
573179,CWH vh 3 /110b
575579,CWH vh 3 /110b
581679,CWH vh 3 /110b
638180,CWH vh 3 /110b
639680,CWH vh 3 /110b
GHT032,CWH vh 3 /110b
GHT064,CWH vh 3 /110b
GHT321,CWH vh 3 /110b
PS9283,CWH vh 3 /110b
100250,CWH vh 3 /111
116485,CWH vh 3 /111
405179,CWH vh 3 /111
405679,CWH vh 3 /111
573779,CWH vh 3 /111
574979,CWH vh 3 /111
636780,CWH vh 3 /111
639880,CWH vh 3 /111
GHT050,CWH vh 3 /111
GHT051,CWH vh 3 /111
GHT139,CWH vh 3 /111
GHT212,CWH vh 3 /111
GHT322,CWH vh 3 /111
PS9267,CWH vh 3 /111
PS9270,CWH vh 3 /111
PS9296,CWH vh 3 /111
PS9371,CWH vh 3 /111
PS9382,CWH vh 3 /111
SEW105,CWH vh 3 /111
165581,CWH vh 3 /112
402879,CWH vh 3 /112
403079,CWH vh 3 /112
580079,CWH vh 3 /112
PS9264,CWH vh 3 /112
PS9300,CWH vh 3 /112
PS9331,CWH vh 3 /112
PS9387,CWH vh 3 /112
GHT193,CWH vh 3 /113
PS9297,CWH vh 3 /113
PS9380,CWH vh 3 /113
572979,CWH vh 3 /114
GHT317,CWH vh 3 /114
PS9284,CWH vh 3 /114
PS9310,CWH vh 3 /114
PS9367,CWH vh 3 /114
PS9369,CWH vh 3 /114
111250,CWH vh 3 /115
112350,CWH vh 3 /115
403279,CWH vh 3 /115
403579,CWH vh 3 /115
404879,CWH vh 3 /115
408379,CWH vh 3 /115
409079,CWH vh 3 /115
409979,CWH vh 3 /115
446379,CWH vh 3 /115
446979,CWH vh 3 /115
572879,CWH vh 3 /115
802150,CWH vh 3 /115
802250,CWH vh 3 /115
GHT061,CWH vh 3 /115
GHT142,CWH vh 3 /115
GHT174,CWH vh 3 /115
GHT318,CWH vh 3 /115
PS9273,CWH vh 3 /115
PS9277,CWH vh 3 /115
PS9294,CWH vh 3 /115
PS9309,CWH vh 3 /115
PS9312,CWH vh 3 /115
PS9321,CWH vh 3 /115
PS9351,CWH vh 3 /115
PS9384,CWH vh 3 /115
QCIS2,CWH vh 3 /115
SEW102,CWH vh 3 /115
SEW111,CWH vh 3 /115
GHT010,CWH vh 3 /116
GHT057,CWH vh 3 /116
110650,CWH vh 3 /117
110750,CWH vh 3 /117
165481,CWH vh 3 /117
165881,CWH vh 3 /117
404579,CWH vh 3 /117
572779,CWH vh 3 /117
638380,CWH vh 3 /117
638680,CWH vh 3 /117
1258281,CWH vh 3 /117
GHT072,CWH vh 3 /117
GHT170,CWH vh 3 /117
SEW108,CWH vh 3 /117
114687,CWH vh 3 /Bb02
GHT207,CWH vh 3 /Bb02
GHT324,CWH vh 3 /Bb02
GHT326,CWH vh 3 /Bb02
GHT327,CWH vh 3 /Bb02
114507,CWH vh 3 /Ed01
114684,CWH vh 3 /Ed01
637180,CWH vh 3 /Ed01
GHT063,CWH vh 3 /Ed01
GHT134,CWH vh 3 /Ed01
GHT145,CWH vh 3 /Ed01
GHT169,CWH vh 3 /Ed01
GHT186,CWH vh 3 /Ed01
PS9274,CWH vh 3 /Ed01
110950,CWH vh 3 /Wb53.1
575079,CWH vh 3 /Wb53.1
581479,CWH vh 3 /Wb53.1
GHT046,CWH vh 3 /Wb53.1
GHT157,CWH vh 3 /Wb53.1
PS9258,CWH vh 3 /Wb53.1
PS9278,CWH vh 3 /Wb53.1
164781,CWH vh 3 /Wb53.2
407779,CWH vh 3 /Wb53.2
409379,CWH vh 3 /Wb53.2
446879,CWH vh 3 /Wb53.2
573679,CWH vh 3 /Wb53.2
634880,CWH vh 3 /Wb53.2
634980,CWH vh 3 /Wb53.2
961396,CWH vh 3 /Wb53.2
969319,CWH vh 3 /Wb53.2
1266781,CWH vh 3 /Wb53.2
1267081,CWH vh 3 /Wb53.2
PS9313,CWH vh 3 /Wb53.2
PS9319,CWH vh 3 /Wb53.2
GHT006,CWH vh 3 /Wb54
GHT023,CWH vh 3 /Wb54
GHT026,CWH vh 3 /Wb54
GHT148,CWH vh 3 /Wb54
GHT181,CWH vh 3 /Wb54
GHT182,CWH vh 3 /Wb54
GHT220,CWH vh 3 /Wb54
GHT160,CWH vh 3 /Wf51
577079,CWH vh 3 /Ws58
GHT008,CWH vh 3 /Ws58
GHT045,CWH vh 3 /Ws58
GHT049,CWH vh 3 /Ws58
GHT054,CWH vh 3 /Ws58
GHT055,CWH vh 3 /Ws58
GHT062,CWH vh 3 /Ws58
GHT067,CWH vh 3 /Ws58
GHT198,CWH vh 3 /Ws58
GHT329,CWH vh 3 /Ws58
22480,CWH wh 1 /101a
22580,CWH wh 1 /101a
23180,CWH wh 1 /101a
23380,CWH wh 1 /101a
23480,CWH wh 1 /101a
23980,CWH wh 1 /101a
39678,CWH wh 1 /101a
50178,CWH wh 1 /101a
50678,CWH wh 1 /101a
52878,CWH wh 1 /101a
100350,CWH wh 1 /101a
100550,CWH wh 1 /101a
100850,CWH wh 1 /101a
100950,CWH wh 1 /101a
101350,CWH wh 1 /101a
111280,CWH wh 1 /101a
113080,CWH wh 1 /101a
113280,CWH wh 1 /101a
113480,CWH wh 1 /101a
113580,CWH wh 1 /101a
113680,CWH wh 1 /101a
113880,CWH wh 1 /101a
115380,CWH wh 1 /101a
115480,CWH wh 1 /101a
132578,CWH wh 1 /101a
150181,CWH wh 1 /101a
151881,CWH wh 1 /101a
202650,CWH wh 1 /101a
401279,CWH wh 1 /101a
401379,CWH wh 1 /101a
401679,CWH wh 1 /101a
402379,CWH wh 1 /101a
404079,CWH wh 1 /101a
404179,CWH wh 1 /101a
405479,CWH wh 1 /101a
405579,CWH wh 1 /101a
405879,CWH wh 1 /101a
408279,CWH wh 1 /101a
409279,CWH wh 1 /101a
409679,CWH wh 1 /101a
411178,CWH wh 1 /101a
411378,CWH wh 1 /101a
411478,CWH wh 1 /101a
412478,CWH wh 1 /101a
426778,CWH wh 1 /101a
574679,CWH wh 1 /101a
574879,CWH wh 1 /101a
633680,CWH wh 1 /101a
635280,CWH wh 1 /101a
635680,CWH wh 1 /101a
638080,CWH wh 1 /101a
905578,CWH wh 1 /101a
905678,CWH wh 1 /101a
910778,CWH wh 1 /101a
963678,CWH wh 1 /101a
963680,CWH wh 1 /101a
963685,CWH wh 1 /101a
963690,CWH wh 1 /101a
963693,CWH wh 1 /101a
963702,CWH wh 1 /101a
963704,CWH wh 1 /101a
1256081,CWH wh 1 /101a
1267481,CWH wh 1 /101a
9614252,CWH wh 1 /101a
9614262,CWH wh 1 /101a
9614263,CWH wh 1 /101a
9614267,CWH wh 1 /101a
9614270,CWH wh 1 /101a
9614274,CWH wh 1 /101a
9614342,CWH wh 1 /101a
9618630,CWH wh 1 /101a
9620116,CWH wh 1 /101a
GHT002,CWH wh 1 /101a
GHT085,CWH wh 1 /101a
GHT087,CWH wh 1 /101a
GHT089,CWH wh 1 /101a
GHT093,CWH wh 1 /101a
GHT121,CWH wh 1 /101a
GHT147,CWH wh 1 /101a
GHT342,CWH wh 1 /101a
GHT346,CWH wh 1 /101a
PS9357,CWH wh 1 /101a
QCIA2,CWH wh 1 /101a
QCIA4,CWH wh 1 /101a
QCIQ1,CWH wh 1 /101a
QCIQ9,CWH wh 1 /101a
QCIS13,CWH wh 1 /101a
QCIS4,CWH wh 1 /101a
SEW107,CWH wh 1 /101a
50278,CWH wh 1 /101b
50578,CWH wh 1 /101b
50878,CWH wh 1 /101b
52078,CWH wh 1 /101b
52578,CWH wh 1 /101b
113780,CWH wh 1 /101b
114180,CWH wh 1 /101b
150581,CWH wh 1 /101b
151481,CWH wh 1 /101b
400379,CWH wh 1 /101b
426678,CWH wh 1 /101b
635480,CWH wh 1 /101b
636480,CWH wh 1 /101b
1258381,CWH wh 1 /101b
GHT019,CWH wh 1 /101b
GHT123,CWH wh 1 /101b
QCIS11,CWH wh 1 /101b
SEW119,CWH wh 1 /101b
50978,CWH wh 1 /102
51178,CWH wh 1 /102
51278,CWH wh 1 /102
51678,CWH wh 1 /102
52378,CWH wh 1 /102
132478,CWH wh 1 /102
151581,CWH wh 1 /102
151981,CWH wh 1 /102
400879,CWH wh 1 /102
412878,CWH wh 1 /102
412978,CWH wh 1 /102
413078,CWH wh 1 /102
427478,CWH wh 1 /102
572579,CWH wh 1 /102
574379,CWH wh 1 /102
632980,CWH wh 1 /102
634180,CWH wh 1 /102
910678,CWH wh 1 /102
910878,CWH wh 1 /102
911078,CWH wh 1 /102
911178,CWH wh 1 /102
963676,CWH wh 1 /102
963677,CWH wh 1 /102
1253681,CWH wh 1 /102
1253781,CWH wh 1 /102
1256581,CWH wh 1 /102
1256681,CWH wh 1 /102
9614327,CWH wh 1 /102
9614351,CWH wh 1 /102
GHT020,CWH wh 1 /102
GHT082,CWH wh 1 /102
GHT088,CWH wh 1 /102
GHT096,CWH wh 1 /102
GHT114,CWH wh 1 /102
GHT118,CWH wh 1 /102
GHT119,CWH wh 1 /102
GHT196,CWH wh 1 /102
MOR103,CWH wh 1 /102
PS9358,CWH wh 1 /102
21068,CWH wh 1 /103.1
114509,CWH wh 1 /103.1
114603,CWH wh 1 /103.1
910578,CWH wh 1 /103.1
GHT090,CWH wh 1 /103.1
GHT109,CWH wh 1 /103.1
GHT112,CWH wh 1 /103.1
GHT115,CWH wh 1 /103.1
GHT214,CWH wh 1 /103.1
GHT318B,CWH wh 1 /103.1
GHT345,CWH wh 1 /103.1
426178,CWH wh 1 /103.2
910478,CWH wh 1 /103.2
GHT120,CWH wh 1 /103.2
GHT348,CWH wh 1 /103.2
150381,CWH wh 1 /104
403779,CWH wh 1 /104
409479,CWH wh 1 /104
426978,CWH wh 1 /104
427378,CWH wh 1 /104
633280,CWH wh 1 /104
GHT192,CWH wh 1 /104
GHT350,CWH wh 1 /104
PS9397,CWH wh 1 /104
116488,CWH wh 1 /105
402079,CWH wh 1 /105
402479,CWH wh 1 /105
402579,CWH wh 1 /105
405779,CWH wh 1 /105
409579,CWH wh 1 /105
571879,CWH wh 1 /105
580679,CWH wh 1 /105
580879,CWH wh 1 /105
963636,CWH wh 1 /105
963667,CWH wh 1 /105
1234580,CWH wh 1 /105
1235680,CWH wh 1 /105
9614251,CWH wh 1 /105
GHT111,CWH wh 1 /105
MOR101,CWH wh 1 /105
PS9361,CWH wh 1 /105
SEW114,CWH wh 1 /105
24180,CWH wh 1 /110a
51778,CWH wh 1 /110a
101250,CWH wh 1 /110a
101650,CWH wh 1 /110a
114280,CWH wh 1 /110a
400179,CWH wh 1 /110a
412578,CWH wh 1 /110a
426878,CWH wh 1 /110a
636080,CWH wh 1 /110a
639280,CWH wh 1 /110a
9620120,CWH wh 1 /110a
9620122,CWH wh 1 /110a
GHT004,CWH wh 1 /110a
GHT083,CWH wh 1 /110a
GHT095,CWH wh 1 /110a
GHT335,CWH wh 1 /110a
GHT341,CWH wh 1 /110a
QCIL5,CWH wh 1 /110a
QCIS10,CWH wh 1 /110a
51078,CWH wh 1 /110b
100450,CWH wh 1 /110b
100750,CWH wh 1 /110b
113180,CWH wh 1 /110b
150481,CWH wh 1 /110b
402279,CWH wh 1 /110b
403879,CWH wh 1 /110b
581779,CWH wh 1 /110b
963649,CWH wh 1 /110b
9614260,CWH wh 1 /110b
9614266,CWH wh 1 /110b
9620052,CWH wh 1 /110b
9620118,CWH wh 1 /110b
9620124,CWH wh 1 /110b
GHT003,CWH wh 1 /110b
GHT323,CWH wh 1 /110b
QCIA1,CWH wh 1 /110b
