PlotNumber,SiteUnit
9017,BG  xh 1 /Gs01
821103,BG  xh 1 /Gs01
821105,BG  xh 1 /Gs01
K07-013,BG  xh 1 /Gs01
K07-014,BG  xh 1 /Gs01
WSO004,BG  xh 1 /Gs01
WSO005,BG  xh 1 /Gs01
917,BG  xh 1 /102
9123,BG  xh 1 /102
BRA008,BG  xh 1 /102
BRA011,BG  xh 1 /102
BRA013,BG  xh 1 /102
BRA017,BG  xh 1 /102
BRA018,BG  xh 1 /102
BRA019,BG  xh 1 /102
BRA021,BG  xh 1 /102
BRA076,BG  xh 1 /102
BRA077,BG  xh 1 /102
BRA082,BG  xh 1 /102
BRA083,BG  xh 1 /102
BRA085,BG  xh 1 /102
BRA086,BG  xh 1 /102
K08-039,BG  xh 1 /102
902,BG  xh 1 /103
K08-038,BG  xh 1 /103
BRA009,BG  xh 1 /110
BRA022,BG  xh 1 /110
BRA081,BG  xh 1 /110
770004,BG  xh 2 /Gs01
790501,BG  xh 2 /Gs01
831313,BG  xh 2 /Gs01
831314,BG  xh 2 /Gs01
831338,BG  xh 2 /Gs01
831343,BG  xh 2 /Gs01
831360,BG  xh 2 /Gs01
98-001,BG  xh 2 /Gs01
98-030,BG  xh 2 /Gs01
98-115,BG  xh 2 /Gs01
98-213,BG  xh 2 /Gs01
K99-062,BG  xh 2 /Gs01
MCL01A,BG  xh 2 /Gs01
MCL01C,BG  xh 2 /Gs01
MCL03A,BG  xh 2 /Gs01
MCL04A,BG  xh 2 /Gs01
MCL04D,BG  xh 2 /Gs01
MCL05A,BG  xh 2 /Gs01
MCL05B,BG  xh 2 /Gs01
MCL06C,BG  xh 2 /Gs01
MCL07B,BG  xh 2 /Gs01
MCL07C,BG  xh 2 /Gs01
MCL7B,BG  xh 2 /Gs01
MCLR09,BG  xh 2 /Gs01
R119681,BG  xh 2 /Gs01
R217682,BG  xh 2 /Gs01
790503,BG  xh 2 /102
831355,BG  xh 2 /102
98-019,BG  xh 2 /102
K99-026,BG  xh 2 /102
831337,BG  xh 2 /110
98-006,BG  xh 2 /110
K11-160,BG  xh 2 /110
K11-161,BG  xh 2 /110
K11-162,BG  xh 2 /110
780460,BG  xw 1 /Gg04d
780613,BG  xw 1 /Gg04d
800642,BG  xw 1 /Gg04d
800678,BG  xw 1 /Gg04d
800681,BG  xw 1 /Gg04d
800682,BG  xw 1 /Gg04d
810683,BG  xw 1 /Gg04d
841502,BG  xw 1 /Gg04d
98-212,BG  xw 1 /Gg04d
K99-118,BG  xw 1 /Gg04d
K99-205,BG  xw 1 /Gg04d
K99-249,BG  xw 1 /Gg04d
K99-250,BG  xw 1 /Gg04d
K99-251,BG  xw 1 /Gg04d
K99-253,BG  xw 1 /Gg04d
K99-255,BG  xw 1 /Gg04d
K99-257,BG  xw 1 /Gg04d
K99-271,BG  xw 1 /Gg04d
K99-280,BG  xw 1 /Gg04d
MCLR16B,BG  xw 1 /Gg04d
R119682,BG  xw 1 /Gg04d
R201781,BG  xw 1 /Gg04d
R202781,BG  xw 1 /Gg04d
R302781,BG  xw 1 /Gg04d
VIC1881,BG  xw 1 /Gg04d
VIC1981,BG  xw 1 /Gg04d
780609,BG  xw 1 /102
K99-108,BG  xw 1 /102
K99-215,BG  xw 1 /102
K99-267,BG  xw 1 /102
R203781,BG  xw 1 /102
780614,BG  xw 1 /110
831383,BG  xw 1 /110
98-220,BG  xw 1 /110
K99-036,BG  xw 1 /110
K99-007,BG  xw 1 /111
K99-037,BG  xw 1 /111
K99-106,BG  xw 1 /111
K99-216,BG  xw 1 /111
K99-259,BG  xw 1 /111
762217,ESSFdc 2 /101
770139,ESSFdc 2 /101
780385,ESSFdc 2 /101
780419,ESSFdc 2 /101
780432,ESSFdc 2 /101
811057,ESSFdc 2 /101
832120,ESSFdc 2 /101
851906,ESSFdc 2 /101
851920,ESSFdc 2 /101
851936,ESSFdc 2 /101
01OK066,ESSFdc 2 /101
01OK070,ESSFdc 2 /101
01OK073,ESSFdc 2 /101
99DB021,ESSFdc 2 /101
99DM027,ESSFdc 2 /101
99DM035,ESSFdc 2 /101
99KJ022,ESSFdc 2 /101
99MD026,ESSFdc 2 /101
99NB003,ESSFdc 2 /101
99RV85,ESSFdc 2 /101
99RV93,ESSFdc 2 /101
99RV95,ESSFdc 2 /101
99RV99,ESSFdc 2 /101
K13-121,ESSFdc 2 /101
K13-122,ESSFdc 2 /101
K99-364,ESSFdc 2 /101
K99-367,ESSFdc 2 /101
K99-470,ESSFdc 2 /101
K99-471,ESSFdc 2 /101
K99-474,ESSFdc 2 /101
R770101,ESSFdc 2 /101
RC6603,ESSFdc 2 /101
TFC030,ESSFdc 2 /101
TFC031,ESSFdc 2 /101
TSB168,ESSFdc 2 /101
TSR037,ESSFdc 2 /101
TSR069,ESSFdc 2 /101
TSR070,ESSFdc 2 /101
TSR072,ESSFdc 2 /101
TSR073,ESSFdc 2 /101
X780385,ESSFdc 2 /101
98DL023,ESSFdc 2 /102
98OK030,ESSFdc 2 /102
98OK044,ESSFdc 2 /102
99MD027,ESSFdc 2 /102
